title,placeUrl,category,address,LGA
Garage Bus Stop,https://www.google.com/maps/place/Garage+Bus+Stop/data=!4m7!3m6!1s0x103b916f13aa6c7f:0x2ec532c2a203660a!8m2!3d6.6241811!4d3.3273983!16s%2Fg%2F11h0nfsd5!19sChIJf2yqE2-ROxARCmYDosIyxS4,Bus stop,"Ijaiye Rd, Agege 102212, Lagos, Nigeria",Agege
Stadium Bus Stop,https://www.google.com/maps/place/Stadium+Bus+Stop/data=!4m7!3m6!1s0x103b9165c7728b31:0xaf3aa617a8edba3f!8m2!3d6.6247193!4d3.330515!16s%2Fg%2F11h06qq1b!19sChIJMYtyx2WROxARP7rtqBemOq8,Bus stop,"Ijaiye Rd, Agege 102212, Lagos, Nigeria",Agege
Agunbiade Bus Stop,https://www.google.com/maps/place/Agunbiade+Bus+Stop/data=!4m7!3m6!1s0x103b916b9bd9818b:0xc9aec71cc9d51de9!8m2!3d6.6270186!4d3.3216879!16s%2Fg%2F1hhx5nvf2!19sChIJi4HZm2uROxAR6R3VyRzHrsk,Bus stop,"Agunbiade St, Agege 102212, Lagos, Nigeria",Agege
Second Gate Bus Stop,https://www.google.com/maps/place/Second+Gate+Bus+Stop/data=!4m7!3m6!1s0x103b91603e249e87:0x562a006ca390259f!8m2!3d6.62982!4d3.33801!16s%2Fg%2F1hhwy6n9f!19sChIJh54kPmCROxARnyWQo2wAKlY,Bus stop,"Agege 101232, Lagos, Nigeria",Agege
Pero Bus Stop,https://www.google.com/maps/place/Pero+Bus+Stop/data=!4m7!3m6!1s0x103b917b06bdb0fd:0x145a1e364ea0c5a1!8m2!3d6.6182476!4d3.331722!16s%2Fg%2F11h0mbm4h!19sChIJ_bC9BnuROxARocWgTjYeWhQ,Bus stop,"Matthew St, Agege 102212, Lagos, Nigeria",Agege
Guinness Bus Stop,https://www.google.com/maps/place/Guinness+Bus+Stop/data=!4m7!3m6!1s0x103b917e9ce536e3:0xc5cade46482c7a19!8m2!3d6.6150722!4d3.3356019!16s%2Fg%2F113j_2br5!19sChIJ4zblnH6ROxARGXosSEbeysU,Bus stop,"Oba Akran Ave, Agege 102212, Lagos, Nigeria",Agege
Otubu Bus Stop,https://www.google.com/maps/place/Otubu+Bus+Stop/data=!4m7!3m6!1s0x103b917add19a13b:0x689227776dc1fc2f!8m2!3d6.6194439!4d3.3307993!16s%2Fg%2F11g_3l878!19sChIJO6EZ3XqROxARL_zBbXcnkmg,Bus stop,"Oba Akran Ave, Agege 102212, Lagos, Nigeria",Agege
Central Bus Stop,https://www.google.com/maps/place/Central+Bus+Stop/data=!4m7!3m6!1s0x103b917c5d2dcc7b:0xd83e63d0540e1e92!8m2!3d6.6172965!4d3.3352411!16s%2Fg%2F11g_d_q96!19sChIJe8wtXXyROxARkh4OVNBjPtg,Bus stop,"Oba Akran Ave, Agege 102212, Lagos, Nigeria",Agege
Guinness Bus Stop,https://www.google.com/maps/place/Guinness+Bus+Stop/data=!4m7!3m6!1s0x103b917ef3d8b4ab:0xfd67629e7a9e008a!8m2!3d6.6136117!4d3.3359599!16s%2Fg%2F1hhwvpkhx!19sChIJq7TY836ROxARigCeep5iZ_0,Bus stop,"Oba Akran Ave, Agege 101233, Lagos, Nigeria",Agege
Mosalashi Bus Stop,https://www.google.com/maps/place/Mosalashi+Bus+Stop/data=!4m7!3m6!1s0x103b916ca23e4d1b:0x53dff5ade8c9aec4!8m2!3d6.6256438!4d3.3199203!16s%2Fg%2F1hhvt3tzf!19sChIJG00-omyROxARxK7J6K3131M,Bus stop,"Amoo St, Agege 102212, Lagos, Nigeria",Agege
Iyana Orile Bus Stop,https://www.google.com/maps/place/Iyana+Orile+Bus+Stop/data=!4m7!3m6!1s0x103b9116d2e1cf99:0x1960e7e4f671d930!8m2!3d6.626185!4d3.311664!16s%2Fg%2F1hhhx81t7!19sChIJmc_h0haROxARMNlx9uTnYBk,Bus stop,"Old Ipaja Rd, Agege 102212, Lagos, Nigeria",Agege
Cement Bus Stop,https://www.google.com/maps/place/Cement+Bus+Stop/data=!4m7!3m6!1s0x103b919f7d30bd73:0x7e271b7bc604a62!8m2!3d6.6067085!4d3.3187935!16s%2Fg%2F1ptwj1c_0!19sChIJc70wfZ-ROxARYkpgvLdx4gc,Bus stop,"1 muraina olo close, Nigeria",Agege
