title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Alimosho Bus Stop,https://www.google.com/maps/place/Alimosho+Bus+Stop/data=!4m7!3m6!1s0x103b90ff0b5d4a6b:0xac640d18a08084a8!8m2!3d6.6116552!4d3.295954!16s%2Fg%2F1hhw7jrk_!19sChIJa0pdC_-QOxARqISAoBgNZKw,Bus stop,"Ipaja Rd, Alimosho 102213, Lagos, Nigeria",Alimosho,15175,63527,17099,35739,35574
General Bus Stop,https://www.google.com/maps/place/General+Bus+Stop/data=!4m7!3m6!1s0x103b8551b71a9fc3:0xbb02988d9f5de57a!8m2!3d6.5603989!4d3.2497644!16s%2Fg%2F11h0gv61f!19sChIJw58at1GFOxAReuVdn42YArs,Bus stop,"Alimosho 102213, Lagos, Nigeria",Alimosho,21640,49138,9620,42204,36204
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b90518fe40603:0xcd53fe05ec0ac36d!8m2!3d6.6014994!4d3.2929695!16s%2Fg%2F1td_7tcp!19sChIJAwbkj1GQOxARbcMK7AX-U80,Bus stop,"Alimosho 102213, Lagos, Nigeria",Alimosho,21640,49138,9620,42204,36204
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b904409d78983:0x6209af83cc96e7a!8m2!3d6.5951633!4d3.28352!16s%2Fg%2F1tfdv1w2!19sChIJg4nXCUSQOxARem7JPPiaIAY,Bus stop,"Abeokuta St, Alimosho 102213, Lagos, Nigeria",Alimosho,13147,58353,11925,33711,33546
Lawal Bus Stop,https://www.google.com/maps/place/Lawal+Bus+Stop/data=!4m7!3m6!1s0x103b8ff911b36a95:0xfd13683dad6c76d5!8m2!3d6.5605561!4d3.2616681!16s%2Fg%2F1q675ddg_!19sChIJlWqzEfmPOxAR1XZsrT1oE_0,Bus stop,"Alimosho 102213, Lagos, Nigeria",Alimosho,21640,49138,9620,42204,36204
Alhaja Bus Stop,https://www.google.com/maps/place/Alhaja+Bus+Stop/data=!4m7!3m6!1s0x103b9020c5363bd1:0x8b2bb03142ff12f1!8m2!3d6.5696092!4d3.2828026!16s%2Fg%2F1hhxgqpls!19sChIJ0Ts2xSCQOxAR8RL_QjGwK4s,Bus stop,"Omo Boriowo St, Alimosho 102213, Lagos, Nigeria",Alimosho,20411,52710,7264,37362,33848
Iyana Ipaja Bus Stop,https://www.google.com/maps/place/Iyana+Ipaja+Bus+Stop/data=!4m7!3m6!1s0x103b90fdfda47475:0xcee7ba2e7b8ad709!8m2!3d6.6156306!4d3.2981642!16s%2Fg%2F11cs468d2k!19sChIJdXSk_f2QOxARCdeKey66584,Bus stop,"Alimosho Grammar School, Round about, Lagos, Idimu Rd, Alimosho, Lagos, Nigeria",Alimosho,12394,59417,12989,32958,32793
Synagogue Bus Stop,https://www.google.com/maps/place/Synagogue+Bus+Stop/data=!4m7!3m6!1s0x103b8f933581a4f9:0x626038d420e592f1!8m2!3d6.5462548!4d3.2722092!16s%2Fg%2F1tjj8ft6!19sChIJ-aSBNZOPOxAR8ZLlINQ4YGI,Bus stop,"Ikotun - Idimu Rd, Alimosho 102213, Lagos, Nigeria",Alimosho,16703,57472,8280,37267,33463
Igando Bus Stop,https://www.google.com/maps/place/Igando+Bus+Stop/data=!4m7!3m6!1s0x103b8540d0692809:0x4a45a882b29213a8!8m2!3d6.5513242!4d3.2402439!16s%2Fg%2F1hhw51mj9!19sChIJCShp0ECFOxARqBOSsoKoRUo,Bus stop,"Alimosho 102213, Lagos, Nigeria",Alimosho,21640,49138,9620,42204,36204
Gate Bus Stop,https://www.google.com/maps/place/Gate+Bus+Stop/data=!4m7!3m6!1s0x103b906404c16ba5:0x2b9c4705eff8e71f!8m2!3d6.6044249!4d3.2730433!16s%2Fg%2F1tkzjk2d!19sChIJpWvBBGSQOxARH-f47wVHnCs,Bus stop,"Ipaja Road, Alimosho 102213, Lagos, Nigeria",Alimosho,15175,63527,17099,35739,35574
