title,placeUrl,category,address,LGA
Liverpool Bus Stop,https://www.google.com/maps/place/Liverpool+Bus+Stop/data=!4m7!3m6!1s0x103b8bb55a6f1825:0xb04d978733506b25!8m2!3d6.4400917!4d3.3594668!16s%2Fg%2F1wvvbghy!19sChIJJRhvWrWLOxARJWtQM4eXTbA,Bus stop,"Apapa 102272, Lagos, Nigeria",Apapa
Salt River Bus Stop,https://www.google.com/maps/place/Salt+River+Bus+Stop/data=!4m7!3m6!1s0x103b8bcc987c4b15:0x1c99c81ba193516a!8m2!3d6.440798!4d3.353542!16s%2Fg%2F1hhvkm_mh!19sChIJFUt8mMyLOxARalGToRvImRw,Bus stop,"Marina Road, Apapa 102272, Lagos, Nigeria",Apapa
Coca Cola Bus Stop,https://www.google.com/maps/place/Coca+Cola+Bus+Stop/data=!4m7!3m6!1s0x103b8bae96fde63d:0x132076b9f5628a1a!8m2!3d6.4454506!4d3.3728158!16s%2Fg%2F1hhx2b9j_!19sChIJPeb9lq6LOxARGopi9bl2IBM,Bus stop,"Apapa Rd, Apapa 102272, Lagos, Nigeria",Apapa
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b89802971f4ab:0xe5d3d5496a31a56!8m2!3d6.4392974!4d3.3367458!16s%2Fg%2F1vp5_0t6!19sChIJq_RxKYCJOxARVhqjllQ9XQ4,Bus stop,"Egbaiyelo St, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Apapa
Eleganza Bus Stop,https://www.google.com/maps/place/Eleganza+Bus+Stop/data=!4m7!3m6!1s0x103b8babf47e09c9:0xeeb951595464a102!8m2!3d6.443424!4d3.374445!16s%2Fg%2F1hhx64x67!19sChIJyQl-9KuLOxARAqFkVFlRue4,Bus stop,"Apapa Rd, Apapa 102272, Lagos, Nigeria",Apapa
Alex Bus Stop,https://www.google.com/maps/place/Alex+Bus+Stop/data=!4m7!3m6!1s0x103b8a527eddf5fb:0x5bc373f5f6342dcd!8m2!3d6.4363786!4d3.3693051!16s%2Fg%2F1hhw09cxz!19sChIJ-_XdflKKOxARzS009vVzw1s,Bus stop,"Apapa Oworonshoki Expy, Apapa 102272, Lagos, Nigeria",Apapa
Wharf Bus Stop,https://www.google.com/maps/place/Wharf+Bus+Stop/data=!4m7!3m6!1s0x103b8baaf1790733:0x79b5f0ef338f465b!8m2!3d6.4412697!4d3.377915!16s%2Fg%2F1hhwljvr_!19sChIJMwd58aqLOxARW0aPM-_wtXk,Bus stop,"Apapa Rd, Apapa 102272, Lagos, Nigeria",Apapa
New Road Bus Stop,https://www.google.com/maps/place/New+Road+Bus+Stop/data=!4m7!3m6!1s0x103b8bd76405a691:0x2444728d8c55d965!8m2!3d6.4497399!4d3.3423221!16s%2Fg%2F11g_5l06v!19sChIJkaYFZNeLOxARZdlVjI1yRCQ,Bus stop,"Ajeromi-Ifelodun 102103, Lagos, Nigeria",Apapa
Apapa,https://www.google.com/maps/place/Apapa/data=!4m7!3m6!1s0x103b8a536ceeeedb:0x535d516a9b150975!8m2!3d6.4374901!4d3.3730093!16s%2Fg%2F1hhwxls01!19sChIJ2-7ubFOKOxARdQkVm2pRXVM,Bus stop,"Apapa Oworonshoki Expy, Apapa 102272, Lagos, Nigeria",Apapa
Greenland Bus Stop,https://www.google.com/maps/place/Greenland+Bus+Stop/data=!4m7!3m6!1s0x103b8bd75608bc4f:0x743effc92477ddba!8m2!3d6.4500491!4d3.3435988!16s%2Fg%2F11h05d1pq!19sChIJT7wIVteLOxARut13JMn_PnQ,Bus stop,"Gbadesere Street, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Apapa
Airways Bus Stop,https://www.google.com/maps/place/Airways+Bus+Stop/data=!4m7!3m6!1s0x103b8bafb58fcef9:0x610f44c008199f82!8m2!3d6.4474318!4d3.3703995!16s%2Fg%2F1td_7hm4!19sChIJ-c6Pta-LOxARgp8ZCMBED2E,Bus stop,"Apapa Rd, Apapa 102272, Lagos, Nigeria",Apapa
