title,placeUrl,category,address,LGA
Badagry Garage Bus Stop,"https://www.google.com/maps/place/Badagry+Garage+Bus+Stop/@6.4284613,2.8925519,17z/data=!3m1!4b1!4m6!3m5!1s0x103b625bd640bfb7:0xa389ad29919825c6!8m2!3d6.4284613!4d2.8925519!16s%2Fg%2F1ptzgrgw6",Bus stop,"F100, 103242, Badagry, Lagos, Nigeria",Badagry
Vlekete Bus Stop,https://www.google.com/maps/place/Vlekete+Bus+Stop/data=!4m7!3m6!1s0x103b626bb3d6bd29:0xd0e2743d1d63ddc3!8m2!3d6.4180024!4d2.8809602!16s%2Fg%2F1ptxr7zgg!19sChIJKb3Ws2tiOxARw91jHT104tA,Bus stop,"Market Rd, 103101, Badagry, Lagos, Nigeria",Badagry
Mobil Bus Stop,https://www.google.com/maps/place/Mobil+Bus+Stop/data=!4m7!3m6!1s0x103b62685272a967:0xc0743c63e09959e!8m2!3d6.4189182!4d2.885381!16s%2Fg%2F1ptwmqwr4!19sChIJZ6lyUmhiOxARnpUJPsZDBww,Bus stop,"Joseph Dosu Way, 103101, Badagry, Lagos, Nigeria",Badagry
New Nepa,https://www.google.com/maps/place/New+Nepa/data=!4m7!3m6!1s0x103b625c7d2f2697:0x14f5f79f395ad62a!8m2!3d6.425613!4d2.890272!16s%2Fg%2F11ppc_30c_!19sChIJlyYvfVxiOxARKtZaOZ_39RQ,Bus stop,"103101, Ajara, Lagos, Nigeria",Badagry
Badagry Market Garage,https://www.google.com/maps/place/Badagry+Market+Garage/data=!4m7!3m6!1s0x103b6214ea8a833b:0xf6e4470dd03f6f20!8m2!3d6.41718!4d2.876346!16s%2Fg%2F11j0j2sl61!19sChIJO4OK6hRiOxARIG8_0A1H5PY,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
Bank,https://www.google.com/maps/place/Bank/data=!4m7!3m6!1s0x103b6268018f771f:0x6cf1d7b79c5edb9f!8m2!3d6.420821!4d2.88736!16s%2Fg%2F11fp8l181c!19sChIJH3ePAWhiOxARn9tenLfX8Ww,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
Grammar School,https://www.google.com/maps/place/Grammar+School/data=!4m7!3m6!1s0x103b625d452cfc8b:0x33e1e854e47a3c93!8m2!3d6.42161!4d2.888395!16s%2Fg%2F11j0j2xc9k!19sChIJi_wsRV1iOxARkzx65FTo4TM,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
Roundabout,https://www.google.com/maps/place/Roundabout/data=!4m7!3m6!1s0x103b625b92ef0e8f:0xb20f3abc9b36c1e4!8m2!3d6.427023!4d2.891281!16s%2Fg%2F11fp8kzly4!19sChIJjw7vkltiOxAR5ME2m7w6D7I,Bus station,"103101, Ajara, Lagos, Nigeria",Badagry
Aradagun Bus Stop,https://www.google.com/maps/place/Aradagun+Bus+Stop/data=!4m7!3m6!1s0x103b62e2d5f59525:0xf5d3bea1f2fb9a09!8m2!3d6.439452!4d2.9078579!16s%2Fg%2F119v8t9pm!19sChIJJZX11eJiOxARCZr78qG-0_U,Bus stop,"Lagos-Badagry Express Way, 103101, Badagry, Lagos, Nigeria",Badagry
Senior Boy,https://www.google.com/maps/place/Senior+Boy/data=!4m7!3m6!1s0x103b6269a641e947:0xa48575044d8054ae!8m2!3d6.418545!4d2.884431!16s%2Fg%2F11fp8k_7ck!19sChIJR-lBpmliOxARrlSATQR1haQ,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
Aradagun Bus Stop,https://www.google.com/maps/place/Aradagun+Bus+Stop/data=!4m7!3m6!1s0x103b7cd80ab24d59:0x92c4e9581e32e1e!8m2!3d6.4418967!4d2.9488494!16s%2Fg%2F11g6m2c9df!19sChIJWU2yCth8OxARHi7jgZVOLAk,Bus charter,"CWRX+QG5, Expressway, Lagos 103242, Badagry, Lagos, Nigeria",Badagry
Ap Bus Stop Badagry,https://www.google.com/maps/place/Ap+Bus+Stop+Badagry/data=!4m7!3m6!1s0x103b7d2a44f78d7d:0x356aa1b6329e9c17!8m2!3d6.440135!4d2.940847!16s%2Fg%2F11hf00vxh7!19sChIJfY33RCp9OxARF5yeMrahajU,Bus station,"103101, Itoga, Lagos, Nigeria",Badagry
Mosafejo Bus Stop,https://www.google.com/maps/place/Mosafejo+Bus+Stop/data=!4m7!3m6!1s0x103b62e2fd92be63:0xdac659ce8550710b!8m2!3d6.4394825!4d2.9097114!16s%2Fg%2F1ptyxgg4t!19sChIJY76S_eJiOxARC3FQhc5Zxto,Bus stop,"F100, 103101, Badagry, Lagos, Nigeria",Badagry
Sonapon,https://www.google.com/maps/place/Sonapon/data=!4m7!3m6!1s0x103b62683f5624c7:0xfc54b71f9bedc436!8m2!3d6.41967!4d2.88602!16s%2Fg%2F11fp8l1dnt!19sChIJxyRWP2hiOxARNsTtmx-3VPw,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
Yadi,https://www.google.com/maps/place/Yadi/data=!4m7!3m6!1s0x103c9e240509c0e7:0x8c0b4bd0d1eb1055!8m2!3d6.394101!4d2.832309!16s%2Fg%2F11h84r3c26!19sChIJ58AJBSSePBARVRDr0dBLC4w,Bus station,"103241, Ogungbe, Lagos, Nigeria",Badagry
Old Nepa,https://www.google.com/maps/place/Old+Nepa/data=!4m7!3m6!1s0x103b626804cf4a71:0xae372b36dfb09b1d!8m2!3d6.420507!4d2.887054!16s%2Fg%2F11j0j2ynwq!19sChIJcUrPBGhiOxARHZuw3zYrN64,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
French Village,https://www.google.com/maps/place/French+Village/data=!4m7!3m6!1s0x103b6257f48c0d13:0xcb019c6a769f9ed!8m2!3d6.431796!4d2.896512!16s%2Fg%2F11h84r5bcs!19sChIJEw2M9FdiOxAR7flpp8YZsAw,Bus station,"103101, Isalu, Lagos, Nigeria",Badagry
James Hotel,https://www.google.com/maps/place/James+Hotel/data=!4m7!3m6!1s0x103b625d120f9bab:0x700bf664e79652e6!8m2!3d6.42265!4d2.88939!16s%2Fg%2F11j0j2x6n1!19sChIJq5sPEl1iOxAR5lKW52T2C3A,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
Low Cost,https://www.google.com/maps/place/Low+Cost/data=!4m7!3m6!1s0x103b62e2f8210d19:0x8adda1ba563a4f9d!8m2!3d6.440085!4d2.910016!16s%2Fg%2F11fp8kylgp!19sChIJGQ0h-OJiOxARnU86Vrqh3Yo,Bus station,"103242, Isalu, Lagos, Nigeria",Badagry
Ile Oba,https://www.google.com/maps/place/Ile+Oba/data=!4m7!3m6!1s0x103b626b25e67e87:0xd728378dd0305a7d!8m2!3d6.417969!4d2.878347!16s%2Fg%2F11h84r749z!19sChIJh37mJWtiOxARfVow0I03KNc,Bus station,"103101, Badagry, Lagos, Nigeria",Badagry
Oko-Afo Bus Stop,https://www.google.com/maps/place/Oko-Afo+Bus+Stop/data=!4m7!3m6!1s0x103b7eb2f38d4c49:0x7bc41c90533f15!8m2!3d6.4816944!4d3.0290652!16s%2Fg%2F11c0r0xs5n!19sChIJSUyN87J-OxARFT9TkBzEewA,Bus stop,"Lagos - Badagry Expy, 103101, Badagry, Lagos, Nigeria",Badagry
Cele,https://www.google.com/maps/place/Cele/data=!4m7!3m6!1s0x103c9e2f2c34ac8b:0xf938373ac0660bbd!8m2!3d6.394423!4d2.825771!16s%2Fg%2F11n38z7l_9!19sChIJi6w0LC-ePBARvQtmwDo3OPk,Bus stop,"103241, Ogungbe, Lagos, Nigeria",Badagry
Yadi,https://www.google.com/maps/place/Yadi/data=!4m7!3m6!1s0x103c9e240f43928b:0x3378b9276627d010!8m2!3d6.393934!4d2.832408!16s%2Fg%2F11h84r8n_7!19sChIJi5JDDySePBARENAnZie5eDM,Bus station,"103241, Lagos, Nigeria",Badagry
Low Cost,https://www.google.com/maps/place/Low+Cost/data=!4m7!3m6!1s0x103b62e2f8576103:0xf31d7fa208a82591!8m2!3d6.439949!4d2.909988!16s%2Fg%2F11fp8l4gb0!19sChIJA2FX-OJiOxARkSWoCKJ_HfM,Bus station,"103101, Isalu, Lagos, Nigeria",Badagry
