title,placeUrl,category,address,LGA
ELF Bus Stop,https://www.google.com/maps/place/ELF+Bus+Stop/data=!4m7!3m6!1s0x103bf5b134e28c45:0xed5b95512a28cdbf!8m2!3d6.4317653!4d3.4749734!16s%2Fg%2F1hf06z63k!19sChIJRYziNLH1OxARv80oKlGVW-0,Bus stop,"Lekki-Epe Expressway, Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
Salem Bus Stop,https://www.google.com/maps/place/Salem+Bus+Stop/data=!4m7!3m6!1s0x103bf5d5a50fb723:0xc0d0671e502c49fe!8m2!3d6.4352302!4d3.4985608!16s%2Fg%2F1hhww9drl!19sChIJI7cPpdX1OxAR_kksUB5n0MA,Bus stop,"Lagos-Epe Express Rd, Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
Eleganza Bus Stop,https://www.google.com/maps/place/Eleganza+Bus+Stop/data=!4m7!3m6!1s0x103bf7afb2e74111:0x43b33c2721f8a1ce!8m2!3d6.4470037!4d3.5444611!16s%2Fg%2F11mxw_n_ls!19sChIJEUHnsq_3OxARzqH4ISc8s0M,Parking lot,"CGWV+RQ4, Lagos-Epe Express Rd, Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
Ikota Bus Stop,https://www.google.com/maps/place/Ikota+Bus+Stop/data=!4m7!3m6!1s0x103bf71172133057:0x194e03f684be2573!8m2!3d6.4519414!4d3.5549408!16s%2Fg%2F1hhxhl7nj!19sChIJVzATchH3OxARcyW-hPYDThk,Bus stop,"Aja 106104, Lekki, Lagos, Nigeria",Eti-Osa
Ilasan Bus Stop,https://www.google.com/maps/place/Ilasan+Bus+Stop/data=!4m7!3m6!1s0x103bf5d3bf9b04a5:0xc511fc08b060f5ad!8m2!3d6.434516!4d3.493899!16s%2Fg%2F1hhx37ss_!19sChIJpQSbv9P1OxARrfVgsAj8EcU,Bus stop,"Lagos-Epe Express Rd, Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
Owode Bus Stop,https://www.google.com/maps/place/Owode+Bus+Stop/data=!4m7!3m6!1s0x103bfa753fd11f17:0x231e4f63a072574c!8m2!3d6.5029911!4d3.5826641!16s%2Fg%2F1ydp2z5s3!19sChIJFx_RP3X6OxARTFdyoGNPHiM,Bus stop,"Langbasa Rd, Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
New Market Bus Stop,https://www.google.com/maps/place/New+Market+Bus+Stop/data=!4m7!3m6!1s0x103bf5013c28be95:0x2a20b136dcd0ebf8!8m2!3d6.4345159!4d3.4564769!16s%2Fg%2F1hhvv17n0!19sChIJlb4oPAH1OxAR-OvQ3DaxICo,Bus stop,"Lekki-Epe Expressway, Eti-Osa 106104, Lagos, Nigeria",Eti-Osa
Chisco Bus Stop,https://www.google.com/maps/place/Chisco+Bus+Stop/data=!4m7!3m6!1s0x103bf5d245acb9e7:0xd94d20b40f34b320!8m2!3d6.434567!4d3.492087!16s%2Fg%2F11h0t6f10!19sChIJ57msRdL1OxARILM0D7QgTdk,Bus stop,"Lagos-Epe Express Rd, Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
5th Roundabout Lekki Bus Stop,https://www.google.com/maps/place/5th+Roundabout+Lekki+Bus+Stop/data=!4m7!3m6!1s0x103bf67d0a2b49cf:0xaf6363f59104d26c!8m2!3d6.4367121!4d3.5080826!16s%2Fg%2F1hc4df6rc!19sChIJz0krCn32OxARbNIEkfVjY68,Bus stop,"Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
7th Roundabout Lekki Bus Stop,https://www.google.com/maps/place/7th+Roundabout+Lekki+Bus+Stop/data=!4m7!3m6!1s0x103bf6f9d66bd749:0x4506625774258a60!8m2!3d6.4412644!4d3.5307741!16s%2Fg%2F1hc7bkm6n!19sChIJSddr1vn2OxARYIoldFdiBkU,Bus stop,"Eti-Osa 106104, Lekki, Lagos, Nigeria",Eti-Osa
