title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Awoyaya Bus Stop,https://www.google.com/maps/place/Awoyaya+Bus+Stop/data=!4m7!3m6!1s0x103bfe7afa404753:0x6e52d65172bb4161!8m2!3d6.4709601!4d3.7106484!16s%2Fg%2F1thrg1wz!19sChIJU0dA-nr-OxARYUG7clHWUm4,Bus stop,"105101, Lekki, Lagos, Nigeria",Ibeju Lekki,95182,137319,98222,101163,73154
Atunrase Bus Stop,https://www.google.com/maps/place/Atunrase+Bus+Stop/data=!4m7!3m6!1s0x103953e4b9866869:0x7492546958e0c50f!8m2!3d6.4722258!4d3.8357599!16s%2Fg%2F11btx0j060!19sChIJaWiGueRTORARD8XgWGlUknQ,Bus stop,"Atunrase Estate 105101, Lekki, Lagos, Nigeria",Ibeju Lekki,95182,137319,81243,82458,73154
Ologunfe Bus Stop,https://www.google.com/maps/place/Ologunfe+Bus+Stop/data=!4m7!3m6!1s0x103bffe113b34ffd:0xc77b4231ec2550ec!8m2!3d6.4682819!4d3.7030326!16s%2Fg%2F11h75zwf81!19sChIJ_U-zE-H_OxAR7FAl7DFCe8c,Transportation service,"FP93+867, Alh. Kamaldeen Oritola Dr, 105101, Lekki, Lagos, Nigeria",Ibeju Lekki,60039,102176,63079,72018,38011
Onosa Bus Stop Ibeju Lekki Lagos,https://www.google.com/maps/place/Onosa+Bus+Stop+Ibeju+Lekki+Lagos/data=!4m7!3m6!1s0x10395528ba909999:0xbb85dd1542d93bbc!8m2!3d6.4712695!4d3.8006049!16s%2Fg%2F11fpqq2bqz!19sChIJmZmQuihVORARvDvZQhXdhbs,Hair extensions supplier,"Onosa Bus Stop, 2 Taoreed Cl, 105101, Lagos, Nigeria",Ibeju Lekki,71639,113775,74679,83618,49610
Bogije,https://www.google.com/maps/place/Bogije/data=!4m7!3m6!1s0x103955e3c92082dd:0x1e332278af16f499!8m2!3d6.475981!4d3.757726!16s%2Fg%2F11h84r8nvl!19sChIJ3YIgyeNVORARmfQWr3giMx4,Bus station,"105101, Gbogije-Ibeju, Lagos, Nigeria",Ibeju Lekki,67121,109257,70161,79100,45092
Shapati,https://www.google.com/maps/place/Shapati/data=!4m7!3m6!1s0x103955d3f96747c3:0xfae4e4eb6161b648!8m2!3d6.47335!4d3.77947!16s%2Fg%2F11fp8k_w5c!19sChIJw0dn-dNVORARSLZhYevk5Po,Bus station,"105101, Gbogije-Ibeju, Lagos, Nigeria",Ibeju Lekki,67121,109257,70161,79100,45092
Eputu Bus Station,https://www.google.com/maps/place/Eputu+Bus+Station/data=!4m7!3m6!1s0x103bfe73a3d966c9:0xb1e32ce513fb32a3!8m2!3d6.4726071!4d3.7203205!16s%2Fg%2F1tff055h!19sChIJyWbZo3P-OxARozL7E-Us47E,Bus stop,"105101, Eputu Town, Lagos, Nigeria",Ibeju Lekki,62173,104309,65213,74152,40144
Eleko,https://www.google.com/maps/place/Eleko/data=!4m7!3m6!1s0x103953e0ed38fddd:0x947d1abd5cc112b9!8m2!3d6.47508!4d3.84385!16s%2Fg%2F11j0j2t411!19sChIJ3f047eBTORARuRLBXL0afZQ,Bus station,"105101, Lekki, Lagos, Nigeria",Ibeju Lekki,95182,137319,98222,101163,73154
Container,https://www.google.com/maps/place/Container/data=!4m7!3m6!1s0x103bfe7d2c80616d:0x8f18f4c9d6e42f33!8m2!3d6.469046!4d3.705111!16s%2Fg%2F11fp8l2pnw!19sChIJbWGALH3-OxARMy_k1sn0GI8,Bus station,"105101, Awoyaya, Lagos, Nigeria",Ibeju Lekki,60117,102253,63157,72096,38088
Aiyeteju,https://www.google.com/maps/place/Aiyeteju/data=!4m7!3m6!1s0x1039541b321d51ed:0xff2bac0039b1e0f6!8m2!3d6.471448!4d3.814337!16s%2Fg%2F11fp8kwxqn!19sChIJ7VEdMhtUORAR9uCxOQCsK_8,Bus station,"105101, Efiran, Lagos, Nigeria",Ibeju Lekki,71320,113457,74360,83300,49292
Abijo Bus stop,https://www.google.com/maps/place/Abijo+Bus+stop/data=!4m7!3m6!1s0x103bffe65ab31c77:0x1ec20b1e6226874a!8m2!3d6.4660852!4d3.6661288!16s%2Fg%2F11mqwlcq2g!19sChIJdxyzWub_OxARSocmYh4Lwh4,Transportation service,"Alh. Tolani Bakare St, Eti-Osa 105101, Lagos, Nigeria",Ibeju Lekki,56112,98248,59152,68091,34083
Maletalafia,https://www.google.com/maps/place/Maletalafia/data=!4m7!3m6!1s0x103955dee55b04c1:0xa6ee4fa905cafd5b!8m2!3d6.475779!4d3.767052!16s%2Fg%2F11j0j2qcqx!19sChIJwQRb5d5VORARW_3KBalP7qY,Bus station,"105101, Gbogije-Ibeju, Lagos, Nigeria",Ibeju Lekki,67121,109257,70161,79100,45092
Baba Adisa,https://www.google.com/maps/place/Baba+Adisa/data=!4m7!3m6!1s0x103953f89ce12f2b:0xaf506353442d4f8d!8m2!3d6.47142!4d3.825001!16s%2Fg%2F11fp8kxc83!19sChIJKy_hnPhTORARjU8tRFNjUK8,Bus station,"105101, Eluju, Lagos, Nigeria",Ibeju Lekki,73686,115823,76726,85665,51657
