title,placeUrl,category,address,LGA
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b96e9cb02fc45:0x39809a0675b8e991!8m2!3d6.6752958!4d3.3113211!16s%2Fg%2F1tfj5hcd!19sChIJRfwCy-mWOxARkem4dQaagDk,Bus stop,"Ifako-Ijaiye 101232, Lagos, Nigeria",Ifako Ijaye
Busstop,https://www.google.com/maps/place/Busstop/data=!4m7!3m6!1s0x103b97116c960e8f:0xb7aae36e0f348d8f!8m2!3d6.681383!4d3.2846895!16s%2Fg%2F1tcwyr8f!19sChIJjw6WbBGXOxARj400D27jqrc,Bus stop,"Ifako-Ijaiye 101232, Lagos, Nigeria",Ifako Ijaye
Iju-Ishaga Bus Stop,https://www.google.com/maps/place/Iju-Ishaga+Bus+Stop/data=!4m7!3m6!1s0x103b96bbf4b2c4f5:0x1fc24938a65a7ed9!8m2!3d6.6684225!4d3.325038!16s%2Fg%2F1hhjq00_f!19sChIJ9cSy9LuWOxAR2X5apjhJwh8,Bus stop,"Ifako-Ijaiye 101232, Lagos, Nigeria",Ifako Ijaye
Ijaiye,https://www.google.com/maps/place/Ijaiye/data=!4m7!3m6!1s0x103b973074306289:0x874e0b751fc45195!8m2!3d6.663417!4d3.287022!16s%2Fg%2F11fp8l5zs5!19sChIJiWIwdDCXOxARlVHEH3ULToc,Bus station,"Alimosho 102213, Lagos, Nigeria",Ifako Ijaye
General Bus Stop,https://www.google.com/maps/place/General+Bus+Stop/data=!4m7!3m6!1s0x103b972c0a23e81f:0x3b05f30d281421e8!8m2!3d6.6572173!4d3.2934844!16s%2Fg%2F11_r5vz7w!19sChIJH-gjCiyXOxAR6CEUKA3zBTs,Bus stop,"Abeokuta Expy, Ifako-Ijaiye 101232, Lagos, Nigeria",Ifako Ijaye
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b912aeb15d8c5:0x13f03c8bcfeb8a75!8m2!3d6.6512976!4d3.2999539!16s%2Fg%2F1tkrc1bn!19sChIJxdgV6yqROxARdYrrz4s88BM,Bus stop,"Kofoworola St, Agege 102213, Lagos, Nigeria",Ifako Ijaye
Estate Bus Stop Oyemekun Ifako-Ijaiye,https://www.google.com/maps/place/Estate+Bus+Stop+Oyemekun+Ifako-Ijaiye/data=!4m7!3m6!1s0x103b915be66fe1b1:0x352f54ada5113370!8m2!3d6.637542!4d3.333374!16s%2Fg%2F11ppcv2zdl!19sChIJseFv5luROxARcDMRpa1ULzU,Bus stop,"Ifako Agege 101232, Lagos, Nigeria",Ifako Ijaye
Iyana School Bus Stop,https://www.google.com/maps/place/Iyana+School+Bus+Stop/data=!4m7!3m6!1s0x103b979b9f76dc4d:0xcc5f4739b850e6d3!8m2!3d6.7023861!4d3.2711091!16s%2Fg%2F11cjgw4h82!19sChIJTdx2n5uXOxAR0-ZQuDlHX8w,Bus stop,"Enkalon St, Ifako-Ijaiye 112104, Ojokoro, Lagos, Nigeria",Ifako Ijaye
Estate Bus Stop,https://www.google.com/maps/place/Estate+Bus+Stop/data=!4m7!3m6!1s0x103b914fcee9f613:0x5a867047de356225!8m2!3d6.6442322!4d3.3279562!16s%2Fg%2F1pt_vc11z!19sChIJE_bpzk-ROxARJWI13kdwhlo,Bus stop,"Ajibodu St, Ifako-Ijaiye 101232, Lagos, Nigeria",Ifako Ijaye
Ijaiye,https://www.google.com/maps/place/Ijaiye/data=!4m7!3m6!1s0x103b973076396891:0x9e76684513c9e83f!8m2!3d6.663558!4d3.286869!16s%2Fg%2F11j0j2tzwh!19sChIJkWg5djCXOxARP-jJE0Vodp4,Bus station,"Alimosho 101232, Lagos, Nigeria",Ifako Ijaye
