title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Ikeja Bus Terminal,https://www.google.com/maps/place/Ikeja+Bus+Terminal/data=!4m7!3m6!1s0x103b93512f4db5e1:0xefb919a3560156ee!8m2!3d6.5921201!4d3.3385834!16s%2Fg%2F11f57gsst5!19sChIJ4bVNL1GTOxAR7lYBVqMZue8,Transportation service,"Simbiat Abiola Way, Ikeja 101233, Ikeja, Lagos, Nigeria",Ikeja,3257,73619,11854,25338,26120
Ikeja along Bus stop,https://www.google.com/maps/place/Ikeja+along+Bus+stop/data=!4m7!3m6!1s0x103b91e7a552276b:0x9dc4233f44ba7507!8m2!3d6.5940196!4d3.3363651!16s%2Fg%2F11qnlcgmts!19sChIJaydSpeeROxARB3W6RD8jxJ0,Bus depot,"H8VP+JG5, Ikeja 101233, Ikeja, Lagos, Nigeria",Ikeja,7795,65295,13252,28359,28194
Ikeja Bus Station,https://www.google.com/maps/place/Ikeja+Bus+Station/data=!4m7!3m6!1s0x103b91891265dc55:0x78666df7c7a37713!8m2!3d6.5954885!4d3.3357126!16s%2Fg%2F11cfg_h9g!19sChIJVdxlEomROxARE3ejx_dtZng,Bus station,"Agege Motor Rd, Ikeja 101233, Lagos, Nigeria",Ikeja,8133,65633,13590,28697,28532
Alausa Bus Stop,https://www.google.com/maps/place/Alausa+Bus+Stop/data=!4m7!3m6!1s0x103b9234c3aeb8cf:0xf11ff8b3fbbbb4f9!8m2!3d6.6086394!4d3.3561158!16s%2Fg%2F119t72ctn!19sChIJz7iuwzSSOxAR-bS7-7P4H_E,Bus stop,"Kudirat Abiola Way, Ikeja 101233, Lagos, Nigeria",Ikeja,3431,72539,15160,21005,23866
Testing Ground Bus Stop,https://www.google.com/maps/place/Testing+Ground+Bus+Stop/data=!4m7!3m6!1s0x103b93cb9599c79f:0x335c205a6fcb0b36!8m2!3d6.613462!4d3.354797!16s%2Fg%2F1hhwkv007!19sChIJn8eZlcuTOxARNgvLb1ogXDM,Bus stop,"Obafemi Awolowo Way, Oregun 101233, Ikeja, Lagos, Nigeria",Ikeja,3001,75731,18352,22081,24942
Clay Bus Stop,https://www.google.com/maps/place/Clay+Bus+Stop/data=!4m7!3m6!1s0x103b924bd3567171:0x7b23b52f55f70ebd!8m2!3d6.604846!4d3.361269!16s%2Fg%2F1hhxr8ymj!19sChIJcXFW00uSOxARvQ73VS-1I3s,Bus stop,"Household of God St, Oregun 101233, Ikeja, Lagos, Nigeria",Ikeja,3030,73472,16093,20739,23600
Second Gate Bus Stop,https://www.google.com/maps/place/Second+Gate+Bus+Stop/data=!4m7!3m6!1s0x103b917f7b911b29:0x1881015ae237e6cf!8m2!3d6.6103292!4d3.3359519!16s%2Fg%2F1hhwg5z4l!19sChIJKRuRe3-ROxARz-Y34loBgRg,Bus stop,"Oba Akran Ave, Oba Akran 101233, Ikeja, Lagos, Nigeria",Ikeja,3866,74942,13178,26662,27443
Ladipo Bus Stop,https://www.google.com/maps/place/Ladipo+Bus+Stop/data=!4m7!3m6!1s0x103b923096095af1:0x296e3e15ca990513!8m2!3d6.6001054!4d3.3526043!16s%2Fg%2F1hhxb3gz_!19sChIJ8VoJljCSOxAREwWZyhU-bik,Bus stop,"Allen Ave, Allen 101233, Ikeja, Lagos, Nigeria",Ikeja,1937,75581,13490,22849,25709
Allen Bus Stop,https://www.google.com/maps/place/Allen+Bus+Stop/data=!4m7!3m6!1s0x103b922d8667b243:0x3d406759281fc848!8m2!3d6.606655!4d3.3487219!16s%2Fg%2F1td8gfjq!19sChIJQ7Jnhi2SOxARSMgfKFlnQD0,Bus stop,"Obafemi Awolowo Way, Allen 101233, Ikeja, Lagos, Nigeria",Ikeja,1607,75370,13263,22637,25498
National Bus Stop,https://www.google.com/maps/place/National+Bus+Stop/data=!4m7!3m6!1s0x103b918a34ea25a7:0x5336514db286fbe!8m2!3d6.5927786!4d3.3363247!16s%2Fg%2F1thvd1py!19sChIJpyXqNIqROxARvm8o2xRlMwU,Bus stop,"Agege Motor Rd, 101233, Ikeja, Lagos, Nigeria",Ikeja,8133,65633,13590,28697,28532
Alade Bus Stop,https://www.google.com/maps/place/Alade+Bus+Stop/data=!4m7!3m6!1s0x103b923210b20b6b:0xc0e291cf34d1d894!8m2!3d6.6019546!4d3.3538821!16s%2Fg%2F1hhvrqgr0!19sChIJawuyEDKSOxARlNjRNM-R4sA,Bus stop,"Hilton Bus Stop, 19B Ogundana Street, Allen Ave, Ikeja, Lagos, Nigeria",Ikeja,458,74754,13161,22895,25756
