title,placeUrl,category,address,LGA
Gbaga bus stop,https://www.google.com/maps/place/Gbaga+bus+stop/data=!4m7!3m6!1s0x103bc341bf0ed879:0x6953712984217cf9!8m2!3d6.7400812!4d3.5267213!16s%2Fg%2F11qg92w1kn!19sChIJedgOv0HDOxAR-XwhhClxU2k,Bus depot,"A1, 121101, Nigeria",Ikorodu
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103beb32c2b16397:0x3d896ffec6723b71!8m2!3d6.6725821!4d3.4781488!16s%2Fg%2F11j2mms8d3!19sChIJl2OxwjLrOxARcTtyxv5viT0,Glass block supplier,"120 Ebuwawa Road, Agbede Rd, Ikorodu, Lagos, Nigeria",Ikorodu
Agric Bus Terminal,https://www.google.com/maps/place/Agric+Bus+Terminal/data=!4m7!3m6!1s0x103bec3ea5267ae5:0x5e9d66b031b94283!8m2!3d6.6254612!4d3.4839356!16s%2Fg%2F11gzrcs8d!19sChIJ5XompT7sOxARg0K5MbBmnV4,Bus station,"Ikorodu-Ososun Rd, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Ogolonto Bus Stop,https://www.google.com/maps/place/Ogolonto+Bus+Stop/data=!4m7!3m6!1s0x103bec48ab888c01:0xc7534d45daafa5ed!8m2!3d6.6193374!4d3.4752846!16s%2Fg%2F11h0w2k0n!19sChIJAYyIq0jsOxAR7aWv2kVNU8c,Bus stop,"Oba Sekumade Road, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Cele Bus Stop,https://www.google.com/maps/place/Cele+Bus+Stop/data=!4m7!3m6!1s0x103bec3c860bf727:0xf529a54094333854!8m2!3d6.6255081!4d3.4880089!16s%2Fg%2F1pv2k5c9x!19sChIJJ_cLhjzsOxARVDgzlEClKfU,Bus station,"Pillars Ave, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Itamaga Bus Stop,https://www.google.com/maps/place/Itamaga+Bus+Stop/data=!4m7!3m6!1s0x103beeddd0d9c935:0xc2af2e333ced071f!8m2!3d6.6321593!4d3.5353721!16s%2Fg%2F1tdjdz25!19sChIJNcnZ0N3uOxARHwftPDMur8I,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Aruna bus stop,https://www.google.com/maps/place/Aruna+bus+stop/data=!4m7!3m6!1s0x103bed6b2e950d41:0xaab797e379c4c21!8m2!3d6.6245701!4d3.4931695!16s%2Fg%2F11fqx477xv!19sChIJQQ2VLmvtOxARIUycN355qwo,Lodging,"Aruna bus stop, Jumovac, 23 Ayodele Ayeni Street, Ikorodu, Nigeria",Ikorodu
Ayo Bus Stop,https://www.google.com/maps/place/Ayo+Bus+Stop/data=!4m7!3m6!1s0x103beb8bb9fb19c1:0x3f68cacf9c1394f6!8m2!3d6.6549741!4d3.4764674!16s%2Fg%2F11h0tfgtz!19sChIJwRn7uYvrOxAR9pQTnM_KaD8,Bus stop,"Owutu-Isawo Rd, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Unity Bus Stop,https://www.google.com/maps/place/Unity+Bus+Stop/data=!4m7!3m6!1s0x103bf1dd97286d33:0x4a9b51cbdf06c5e0!8m2!3d6.5511908!4d3.5403204!16s%2Fg%2F11g1fflx0w!19sChIJM20ol93xOxAR4MUG38tRm0o,Community center,"HG2R+F4G, Baiyeku Road, Ikorodu 104102, Ikorodu, Lagos, Nigeria",Ikorodu
Ikorodu Garage,https://www.google.com/maps/place/Ikorodu+Garage/data=!4m7!3m6!1s0x103bee9d2023ad1d:0x16a418f16aaaf8df!8m2!3d6.620771!4d3.502783!16s%2Fg%2F11j0j2v9sc!19sChIJHa0jIJ3uOxAR3_iqavEYpBY,Bus station,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Ilaje Bus Stop,https://www.google.com/maps/place/Ilaje+Bus+Stop/data=!4m7!3m6!1s0x103bf2759f981ec9:0x4fe958a2db52ad67!8m2!3d6.5650787!4d3.4774897!16s%2Fg%2F11bw7rn_2c!19sChIJyR6Yn3XyOxARZ61S26JY6U8,Bus stop,"Owode Ibese Rd, Ikorodu 104102, Ikorodu, Lagos, Nigeria",Ikorodu
