title,placeUrl,category,address,LGA
Abiola Bus Stop,https://www.google.com/maps/place/Abiola+Bus+Stop/data=!4m7!3m6!1s0x103b92e9d7575577:0x521ef07113d5f53e!8m2!3d6.595539!4d3.3990991!16s%2Fg%2F119x29k35!19sChIJd1VX1-mSOxARPvXVE3HwHlI,Bus stop,"Demurin St, Kosofe 105102, Lagos, Nigeria",Kosofe
Ketu Bus Stop,https://www.google.com/maps/place/Ketu+Bus+Stop/data=!4m7!3m6!1s0x103b92f0ec2db985:0xc297e61952a0c54f!8m2!3d6.597497!4d3.386115!16s%2Fg%2F1tfw053d!19sChIJhbkt7PCSOxART8WgUhnml8I,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Kosofe
Eleha Bus Stop,https://www.google.com/maps/place/Eleha+Bus+Stop/data=!4m7!3m6!1s0x103b92f8ee06f547:0xebcbeac1353568!8m2!3d6.6023386!4d3.3807957!16s%2Fg%2F1tfwgj2t!19sChIJR_UG7viSOxARaDU1werL6wA,Bus stop,"Aladelola Street, Kosofe 105102, Lagos, Nigeria",Kosofe
Kosofe,https://www.google.com/maps/place/Kosofe/data=!4m7!3m6!1s0x103b92e24ba52ae1:0xe4b75427e6734816!8m2!3d6.6071!4d3.392865!16s%2Fg%2F11h84r47x9!19sChIJ4SqlS-KSOxARFkhz5idUt-Q,Bus station,"Ikosi Ketu 105102, Ikeja, Lagos, Nigeria",Kosofe
Alhaja BusStop,https://www.google.com/maps/place/Alhaja+BusStop/data=!4m7!3m6!1s0x103b92ff5ab1ec25:0x5c625a8bb88c3ec8!8m2!3d6.6050244!4d3.3798087!16s%2Fg%2F1td44t7d!19sChIJJeyxWv-SOxARyD6MuItaYlw,Bus stop,"Aladelola Street, Kosofe 105102, Lagos, Nigeria",Kosofe
Maryland Bus Stop,https://www.google.com/maps/place/Maryland+Bus+Stop/data=!4m7!3m6!1s0x103b92772305f45b:0xe58649753ffb2f1a!8m2!3d6.5712865!4d3.3671004!16s%2Fg%2F1tg7hz27!19sChIJW_QFI3eSOxARGi_7P3VJhuU,Bus stop,"Kosofe 101233, Lagos, Nigeria",Kosofe
Ojota,https://www.google.com/maps/place/Ojota/data=!4m7!3m6!1s0x103b92600f06d9ad:0xe195eec6dc0306a4!8m2!3d6.5877167!4d3.3785072!16s%2Fg%2F1hhwcl1hq!19sChIJrdkGD2CSOxARpAYD3MbuleE,Bus stop,"Ikorodu-Ososun Rd, Kosofe 101233, Lagos, Nigeria",Kosofe
Oja Bus-Stop,https://www.google.com/maps/place/Oja+Bus-Stop/data=!4m7!3m6!1s0x103b92f9c219d7a5:0xe8697c6ab4637f77!8m2!3d6.5999193!4d3.38292!16s%2Fg%2F1tcy_bwt!19sChIJpdcZwvmSOxARd39jtGp8aeg,Bus stop,"Kosofe 105102, Lagos, Nigeria",Kosofe
Police Post Bus Stop,https://www.google.com/maps/place/Police+Post+Bus+Stop/data=!4m7!3m6!1s0x103bed2a02e3bd35:0xbfb8be5453a8b4f7!8m2!3d6.6087332!4d3.4244567!16s%2Fg%2F1tdq344p!19sChIJNb3jAirtOxAR97SoU1S-uL8,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Kosofe
Cele Bus-Stop,https://www.google.com/maps/place/Cele+Bus-Stop/data=!4m7!3m6!1s0x103b925589b5478f:0x8122e64ab231d811!8m2!3d6.6061434!4d3.3791113!16s%2Fg%2F1td8f6gw!19sChIJj0e1iVWSOxAREdgxskrmIoE,Bus stop,"Aladelola Street, Kosofe 105102, Lagos, Nigeria",Kosofe
Welfare Bus Stop,https://www.google.com/maps/place/Welfare+Bus+Stop/data=!4m7!3m6!1s0x103b92457114c971:0xdc78ace6f5f9abf6!8m2!3d6.5981528!4d3.3670118!16s%2Fg%2F1hhvrn68h!19sChIJcckUcUWSOxAR9qv59easeNw,Bus stop,"Kudirat Abiola Way, Kosofe 101233, Lagos, Nigeria",Kosofe
Ifako Bus Stop (Expressway),https://www.google.com/maps/place/Ifako+Bus+Stop+%28Expressway%29/data=!4m7!3m6!1s0x103b8d668e9a4d03:0x98b7cfb174a368c9!8m2!3d6.5618538!4d3.3950597!16s%2Fg%2F11gzy464l!19sChIJA02ajmaNOxARyWijdLHPt5g,Bus stop,"Ifako 105102, Lagos, Nigeria",Kosofe
Irawo Bus Stop,https://www.google.com/maps/place/Irawo+Bus+Stop/data=!4m7!3m6!1s0x103becd57f4dfa5b:0xc03af713dd7a9986!8m2!3d6.609795!4d3.4220411!16s%2Fg%2F1th3qntn!19sChIJW_pNf9XsOxARhpl63RP3OsA,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Kosofe
Anthony Village Bus Stop,https://www.google.com/maps/place/Anthony+Village+Bus+Stop/data=!4m7!3m6!1s0x103b8d8f7ebdcc61:0x18711e63fd96110f!8m2!3d6.5593778!4d3.3688786!16s%2Fg%2F1q4kmrbcg!19sChIJYcy9fo-NOxARDxGW_WMecRg,Bus stop,"Anthony Village Rd, Kosofe 105102, Ikeja, Lagos, Nigeria",Kosofe
Salawe Bus Stop,https://www.google.com/maps/place/Salawe+Bus+Stop/data=!4m7!3m6!1s0x103b92fefed94091:0x7b9ccf6019787d7e!8m2!3d6.6067829!4d3.3819866!16s%2Fg%2F1tcyzfl2!19sChIJkUDZ_v6SOxARfn14GWDPnHs,Bus stop,"Love-All St, Kosofe 105102, Lagos, Nigeria",Kosofe
Gbagada Bus Stop,https://www.google.com/maps/place/Gbagada+Bus+Stop/data=!4m7!3m6!1s0x103b8d72693e4c13:0x2a6b0ecf9098b957!8m2!3d6.549335!4d3.388231!16s%2Fg%2F1tzhz9jl!19sChIJE0w-aXKNOxARV7mYkM8Oayo,Bus stop,"Apapa Oworonshoki Expy, Araromi 105102, Lagos, Nigeria",Kosofe
Ogudu Bus Stop,https://www.google.com/maps/place/Ogudu+Bus+Stop/data=!4m7!3m6!1s0x103b929f2bc2e293:0xde6f299bd00406e!8m2!3d6.571976!4d3.3970521!16s%2Fg%2F1q674tyfm!19sChIJk-LCK5-SOxARbkAAvZny5g0,Bus stop,"3Road Axial Express Road, Ogudu 105102, Ikeja, Lagos, Nigeria",Kosofe
Maryland Terminal,https://www.google.com/maps/place/Maryland+Terminal/data=!4m7!3m6!1s0x103b927731aeca2d:0x1fb79f08fd69c0f4!8m2!3d6.5719793!4d3.367272!16s%2Fg%2F1tdbn032!19sChIJLcquMXeSOxAR9MBp_Qiftx8,Bus stop,"Kosofe 101233, Lagos, Nigeria",Kosofe
Iyana Oworo Bus Stop,https://www.google.com/maps/place/Iyana+Oworo+Bus+Stop/data=!4m7!3m6!1s0x103b8d68929b5751:0xee1f5978c592e35f!8m2!3d6.5550189!4d3.3962023!16s%2Fg%2F1hhxpp5jz!19sChIJUVebkmiNOxARX-OSxXhZH-4,Bus stop,"Williams St, Gbagada 105102, Lagos, Nigeria",Kosofe
Pako Bus Stop,https://www.google.com/maps/place/Pako+Bus+Stop/data=!4m7!3m6!1s0x103b8d69ee460b7d:0xee61a6b653230d9d!8m2!3d6.5516804!4d3.3985269!16s%2Fg%2F1ptx_n6g5!19sChIJfQtG7mmNOxARnQ0jU7amYe4,Bus stop,"Oworo Rd, Gbagada 105102, Lagos, Nigeria",Kosofe
Ifako,https://www.google.com/maps/place/Ifako/data=!4m7!3m6!1s0x103b8d6137fb0679:0xc91cabbe212454cd!8m2!3d6.5624477!4d3.3957746!16s%2Fg%2F1ptyrwzp8!19sChIJeQb7N2GNOxARzVQkIb6rHMk,Bus stop,"E 1, Oworoshoki, Ogudu Rd, Kosofe, Lagos, Nigeria",Kosofe
Olushosun Bus Stop,https://www.google.com/maps/place/Olushosun+Bus+Stop/data=!4m7!3m6!1s0x103b925dd35b8d43:0x7af7bd3db7e832b9!8m2!3d6.5909641!4d3.3738247!16s%2Fg%2F1hhxg25zh!19sChIJQ41b012SOxARuTLotz2993o,Bus stop,"Kudirat Abiola Way, Kosofe 101233, Lagos, Nigeria",Kosofe
"Iyana School Bus Stop, Alapere","https://www.google.com/maps/place/Iyana+School+Bus+Stop,+Alapere/data=!4m7!3m6!1s0x103b92c032d64fe5:0x81a30f312cbab8e0!8m2!3d6.5906773!4d3.400054!16s%2Fg%2F119tyky_9!19sChIJ5U_WMsCSOxAR4Li6LDEPo4E",Bus stop,"Kosofe 105102, Lagos, Nigeria",Kosofe
Owode Bus Stop,https://www.google.com/maps/place/Owode+Bus+Stop/data=!4m7!3m6!1s0x103b93283e482551:0xfe77572120e0d1e3!8m2!3d6.6108716!4d3.411482!16s%2Fg%2F1tm3m1vb!19sChIJUSVIPiiTOxAR49HgICFXd_4,Bus stop,"Ikorodu-Ososun Rd, Kosofe 105102, Lagos, Nigeria",Kosofe
Iyana School Bus Stop,https://www.google.com/maps/place/Iyana+School+Bus+Stop/data=!4m7!3m6!1s0x103b92e4bf30b3cd:0xfe6af1403cd0644e!8m2!3d6.6030132!4d3.3902673!16s%2Fg%2F1q66z5glr!19sChIJzbMwv-SSOxARTmTQPEDxav4,Bus stop,"Mile 12 105102, Ikeja, Lagos, Nigeria",Kosofe
Idiroko Bus Stop,"https://www.google.com/maps/place/Idiroko+Bus+Stop/@6.5641457,3.3652558,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d88fbe053c3:0x4681d92ab068368c!8m2!3d6.5641457!4d3.3652558!16s%2Fg%2F12lt1b1r8",Bus stop,"Ilupeju 101233, Lagos, Nigeria",Kosofe
Ogudu,https://www.google.com/maps/place/Ogudu/data=!4m7!3m6!1s0x103b929f2d979e31:0xf0727ac36e16f2ba!8m2!3d6.5719755!4d3.3975472!16s%2Fg%2F119txd4d0!19sChIJMZ6XLZ-SOxARuvIWbsN6cvA,Bus stop,"Kosofe 105102, Lagos, Nigeria",Kosofe
First Pedro Bus Stop,https://www.google.com/maps/place/First+Pedro+Bus+Stop/data=!4m7!3m6!1s0x103b8d7583a9a39d:0x4933c1b642e2e6d1!8m2!3d6.5486527!4d3.3797257!16s%2Fg%2F1tfgrdrz!19sChIJnaOpg3WNOxAR0ebiQrbBM0k,Bus stop,"Apapa Oworonshoki Expy, Somolu 105102, Lagos, Nigeria",Kosofe
Clay Bus Stop,https://www.google.com/maps/place/Clay+Bus+Stop/data=!4m7!3m6!1s0x103b924bd3567171:0x7b23b52f55f70ebd!8m2!3d6.604846!4d3.361269!16s%2Fg%2F1hhxr8ymj!19sChIJcXFW00uSOxARvQ73VS-1I3s,Bus stop,"Household of God St, Oregun 101233, Ikeja, Lagos, Nigeria",Kosofe
First Bank Bus Stop,https://www.google.com/maps/place/First+Bank+Bus+Stop/data=!4m7!3m6!1s0x103b925b69e74c6d:0x47d7f0e692cb38b0!8m2!3d6.5946331!4d3.3704048!16s%2Fg%2F1hhvqcdgg!19sChIJbUznaVuSOxARsDjLkubw10c,Bus stop,"Kudirat Abiola Way, Kosofe 101233, Lagos, Nigeria",Kosofe
Olusosun Bus Stop,https://www.google.com/maps/place/Olusosun+Bus+Stop/data=!4m7!3m6!1s0x103b925e6e272dc7:0x59b7146e43f222be!8m2!3d6.5904842!4d3.3747025!16s%2Fg%2F1q63cj0rb!19sChIJxy0nbl6SOxARviLyQ24Ut1k,Bus stop,"Kudirat Abiola Way, Ojota 101233, Ikeja, Lagos, Nigeria",Kosofe
Onigbongbo Bus Stop,https://www.google.com/maps/place/Onigbongbo+Bus+Stop/data=!4m7!3m6!1s0x103b927134f46d07:0x2771b9c41c4a512f!8m2!3d6.5725708!4d3.3655661!16s%2Fg%2F1hhvpwllj!19sChIJB230NHGSOxARL1FKHMS5cSc,Bus stop,"Mobolaji Bank Anthony Way, Maryland 101233, Lagos, Nigeria",Kosofe
Oluyole Bus Stop,https://www.google.com/maps/place/Oluyole+Bus+Stop/data=!4m7!3m6!1s0x103b924f46f4e311:0xd5ab6dc8a601288a!8m2!3d6.60053!4d3.364413!16s%2Fg%2F1hhvt8c0y!19sChIJEeP0Rk-SOxARiigBpshtq9U,Bus stop,"Kudirat Abiola Way, Allen 101233, Ikeja, Lagos, Nigeria",Kosofe
Mr Biggs Bus-Stop,https://www.google.com/maps/place/Mr+Biggs+Bus-Stop/data=!4m7!3m6!1s0x103b92f830f56a63:0x43173e6800057961!8m2!3d6.5997325!4d3.3810247!16s%2Fg%2F1tf2hkpg!19sChIJY2r1MPiSOxARYXkFAGg-F0M,Bus stop,"Ikosi Rd, Ikosi Ketu 105102, Lagos, Nigeria",Kosofe
West End,https://www.google.com/maps/place/West+End/data=!4m7!3m6!1s0x103b8d9c3fbecd5b:0x43fb476868238660!8m2!3d6.5522397!4d3.3755547!16s%2Fg%2F1tt4lm0b!19sChIJW82-P5yNOxARYIYjaGhH-0M,Bus stop,"Gbagada Industrial Estate Road, Araromi 105102, Lagos, Nigeria",Kosofe
Oshinowo Bus-Stop,https://www.google.com/maps/place/Oshinowo+Bus-Stop/data=!4m7!3m6!1s0x103b92ff73da651d:0xc85908bae6382648!8m2!3d6.6065218!4d3.3801788!16s%2Fg%2F1tg975p4!19sChIJHWXac_-SOxARSCY45roIWcg,Bus stop,"Love-All St, Ketu 105102, Lagos, Nigeria",Kosofe
Obanikoro Bus Stop,https://www.google.com/maps/place/Obanikoro+Bus+Stop/data=!4m7!3m6!1s0x103b8d97cba19aa3:0x2d9b96650b8d2357!8m2!3d6.546877!4d3.3667831!16s%2Fg%2F1hhw6dbr_!19sChIJo5qhy5eNOxARVyONC2WWmy0,Bus stop,"Association Ave, Mushin 102215, Ikeja, Lagos, Nigeria",Kosofe
Junction Bus Stop,https://www.google.com/maps/place/Junction+Bus+Stop/data=!4m7!3m6!1s0x103b926a3acfe573:0x38ba77fc936fe108!8m2!3d6.5865517!4d3.3634177!16s%2Fg%2F1hhw94zpq!19sChIJc-XPOmqSOxARCOFvk_x3ujg,Bus stop,"Opebi Rd, Opebi 101233, Ikeja, Lagos, Nigeria",Kosofe
Idi Iroko Bus Stop,https://www.google.com/maps/place/Idi+Iroko+Bus+Stop/data=!4m7!3m6!1s0x103b8d89ade3661b:0x425578a8dbba60f9!8m2!3d6.5651375!4d3.3664399!16s%2Fg%2F1hhxrqj_y!19sChIJG2bjrYmNOxAR-WC626h4VUI,Bus stop,"Ilupeju 101233, Ikeja, Lagos, Nigeria",Kosofe
Mile12 Bus Stop,https://www.google.com/maps/place/Mile12+Bus+Stop/data=!4m7!3m6!1s0x103b92de6c68f0c9:0x9168495bcacd258e!8m2!3d6.6055663!4d3.400014!16s%2Fg%2F11b6c60cr7!19sChIJyfBobN6SOxARjiXNyltJaJE,Bus stop,"Mile 12 105102, Lagos, Nigeria",Kosofe
Opebi Bus Stop,https://www.google.com/maps/place/Opebi+Bus+Stop/data=!4m7!3m6!1s0x103b924081305815:0xda66d3965dd72d94!8m2!3d6.591441!4d3.359445!16s%2Fg%2F1hhxjf7tf!19sChIJFVgwgUCSOxARlC3XXZbTZto,Bus stop,"Opebi Rd, Opebi 101233, Ikeja, Lagos, Nigeria",Kosofe
Berger Bus Stop,https://www.google.com/maps/place/Berger+Bus+Stop/data=!4m7!3m6!1s0x103b9338c5016057:0x79aeb10a1e8d0c2c!8m2!3d6.6398223!4d3.367783!16s%2Fg%2F11f6lnkg1t!19sChIJV2ABxTiTOxARLAyNHgqxrnk,Bus stop,"Isheri 101233, Ojodu Berger, Lagos, Nigeria",Kosofe
Ibefun Bus Stop,https://www.google.com/maps/place/Ibefun+Bus+Stop/data=!4m7!3m6!1s0x103b92c002a2d63d:0xc72e99bb419abe0b!8m2!3d6.5887792!4d3.3994129!16s%2Fg%2F1hd__dtj4!19sChIJPdaiAsCSOxARC76aQbuZLsc,Bus stop,"Kosofe 105102, Lagos, Nigeria",Kosofe
Pedro Bus Stop,https://www.google.com/maps/place/Pedro+Bus+Stop/data=!4m7!3m6!1s0x103b8da265081aa1:0x8aa1694463b3797d!8m2!3d6.5449037!4d3.372159!16s%2Fg%2F11gzfqn_l!19sChIJoRoIZaKNOxARfXmzY0RpoYo,Bus stop,"Pedro Road, Somolu 102216, Lagos, Nigeria",Kosofe
Alausa Bus Stop,https://www.google.com/maps/place/Alausa+Bus+Stop/data=!4m7!3m6!1s0x103b9234c3aeb8cf:0xf11ff8b3fbbbb4f9!8m2!3d6.6086394!4d3.3561158!16s%2Fg%2F119t72ctn!19sChIJz7iuwzSSOxAR-bS7-7P4H_E,Bus stop,"Kudirat Abiola Way, Ikeja 101233, Lagos, Nigeria",Kosofe
Kadupe Bus Stop,https://www.google.com/maps/place/Kadupe+Bus+Stop/data=!4m7!3m6!1s0x103b8da226637085:0xb5f8870136a0fd81!8m2!3d6.5438725!4d3.3738971!16s%2Fg%2F1ydny_jb2!19sChIJhXBjJqKNOxARgf2gNgGH-LU,Bus stop,"Pedro Road, Somolu 102216, Lagos, Nigeria",Kosofe
Testing Ground Bus Stop,https://www.google.com/maps/place/Testing+Ground+Bus+Stop/data=!4m7!3m6!1s0x103b93cb9599c79f:0x335c205a6fcb0b36!8m2!3d6.613462!4d3.354797!16s%2Fg%2F1hhwkv007!19sChIJn8eZlcuTOxARNgvLb1ogXDM,Bus stop,"Obafemi Awolowo Way, Oregun 101233, Ikeja, Lagos, Nigeria",Kosofe
Bakare Bus Stop,https://www.google.com/maps/place/Bakare+Bus+Stop/data=!4m7!3m6!1s0x103b8dbd3b51413d:0xedf585cf308eec8e!8m2!3d6.5437872!4d3.3682027!16s%2Fg%2F11h0hlck6!19sChIJPUFRO72NOxARjuyOMM-F9e0,Bus stop,"Shipeolu St, Somolu 102216, Lagos, Nigeria",Kosofe
Awofodu Bus Stop,https://www.google.com/maps/place/Awofodu+Bus+Stop/data=!4m7!3m6!1s0x103b8da09a85079d:0x8213684ce2d3d3f6!8m2!3d6.5422257!4d3.378607!16s%2Fg%2F11g__1_sc!19sChIJnQeFmqCNOxAR9tPT4kxoE4I,Bus stop,"Igi Olugbin Road, Somolu 102216, Lagos, Nigeria",Kosofe
Popola Bus Stop,https://www.google.com/maps/place/Popola+Bus+Stop/data=!4m7!3m6!1s0x103b8d0a0be94e4f:0x8448c2fd3ba40aa3!8m2!3d6.5414156!4d3.37946!16s%2Fg%2F11g_bsmhn!19sChIJT07pCwqNOxARowqkO_3CSIQ,Bus stop,"Igi Olugbin St, Somolu 102216, Lagos, Nigeria",Kosofe
Shoprite,https://www.google.com/maps/place/Shoprite/data=!4m7!3m6!1s0x103b93ca2b9a8693:0x4618bb10f22c5e35!8m2!3d6.6148533!4d3.3567202!16s%2Fg%2F1hhw1ysjq!19sChIJk4aaK8qTOxARNV4s8hC7GEY,Bus stop,"Oregun 101233, Ikeja, Lagos, Nigeria",Kosofe
Alade Bus Stop,https://www.google.com/maps/place/Alade+Bus+Stop/data=!4m7!3m6!1s0x103b923210b20b6b:0xc0e291cf34d1d894!8m2!3d6.6019546!4d3.3538821!16s%2Fg%2F1hhvrqgr0!19sChIJawuyEDKSOxARlNjRNM-R4sA,Bus stop,"Hilton Bus Stop, 19B Ogundana Street, Allen Ave, Ikeja, Lagos, Nigeria",Kosofe
BRT Bus Stop,https://www.google.com/maps/place/BRT+Bus+Stop/data=!4m7!3m6!1s0x103b8dbc8b1a773f:0x4ca94d3a8fd08b44!8m2!3d6.5416608!4d3.3667302!16s%2Fg%2F1tq7cj0r!19sChIJP3cai7yNOxARRIvQjzpNqUw,Bus stop,"Palmgrove Overpass, Mushin 102215, Lagos, Nigeria",Kosofe
Awosika Bus Stop,https://www.google.com/maps/place/Awosika+Bus+Stop/data=!4m7!3m6!1s0x103b9238cc79636d:0xe31d191c5cb1dba7!8m2!3d6.5939946!4d3.3574511!16s%2Fg%2F11bbrlgf03!19sChIJbWN5zDiSOxARp9uxXBwZHeM,Bus stop,"Opebi Rd, Opebi 101233, Ikeja, Lagos, Nigeria",Kosofe
Haco Bus Stop,https://www.google.com/maps/place/Haco+Bus+Stop/data=!4m7!3m6!1s0x103b93d3daf3b0d3:0x1bf25982a16fd830!8m2!3d6.6146801!4d3.34575!16s%2Fg%2F1v387c14!19sChIJ07Dz2tOTOxARMNhvoYJZ8hs,Bus stop,"Ladipo Oluwole St, Oba Akran 101233, Ikeja, Lagos, Nigeria",Kosofe
Viewpage Limited,https://www.google.com/maps/place/Viewpage+Limited/data=!4m7!3m6!1s0x103b93eea5597c49:0x870f5f9ee4dec708!8m2!3d6.6357157!4d3.3542274!16s%2Fg%2F11gzsq913!19sChIJSXxZpe6TOxARCMfe5J5fD4c,Bus stop,"Isheri Rd, Isheri 101233, Ikeja, Lagos, Nigeria",Kosofe
Palmgrove Bus stop,https://www.google.com/maps/place/Palmgrove+Bus+stop/data=!4m7!3m6!1s0x103b8dbc92f8babf:0x9be1674f92606704!8m2!3d6.5409839!4d3.3674149!16s%2Fg%2F1tjyqrbc!19sChIJv7r4kryNOxARBGdgkk9n4Zs,Bus stop,"Somolu 102216, Lagos, Nigeria",Kosofe
Folagoro Bus Stop,https://www.google.com/maps/place/Folagoro+Bus+Stop/data=!4m7!3m6!1s0x103b8d0746272251:0xdc195b33d6f8ea41!8m2!3d6.5303728!4d3.3802539!16s%2Fg%2F11g_gg0ld!19sChIJUSInRgeNOxARQer41jNbGdw,Bus stop,"Bajulaye Rd, Somolu 102216, Lagos, Nigeria",Kosofe
Ogolonto Bus Stop,https://www.google.com/maps/place/Ogolonto+Bus+Stop/data=!4m7!3m6!1s0x103bec48ab888c01:0xc7534d45daafa5ed!8m2!3d6.6193374!4d3.4752846!16s%2Fg%2F11h0w2k0n!19sChIJAYyIq0jsOxAR7aWv2kVNU8c,Bus stop,"Oba Sekumade Road, Ikorodu 104101, Ikorodu, Lagos, Nigeria",Kosofe
