title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Obalende Bus Stop,https://www.google.com/maps/place/Obalende+Bus+Stop/data=!4m7!3m6!1s0x103b8b3a92b66e03:0xce9f02397d04538c!8m2!3d6.4515869!4d3.408224!16s%2Fg%2F1hhxshld0!19sChIJA262kjqLOxARjFMEfTkCn84,Bus stop,"Ring Rd, Lagos Island 106104, Lagos, Nigeria",Lagos Island,22889,66840,29227,38166,554
Ijaiye Bus Stop,https://www.google.com/maps/place/Ijaiye+Bus+Stop/data=!4m7!3m6!1s0x103b8b734a251bd1:0x37e9b7cdfba9d820!8m2!3d6.4607575!4d3.3853977!16s%2Fg%2F1q62gl0wd!19sChIJ0RslSnOLOxARINip-8236Tc,Bus stop,"Ebute, Oke Arin St, Lagos Island, Lagos, Nigeria",Lagos Island,18885,62837,15922,34574,5007
Olowu Bus Stop,https://www.google.com/maps/place/Olowu+Bus+Stop/data=!4m7!3m6!1s0x103b8b38dbebfcc5:0x8fc2a16ab3756ff!8m2!3d6.4579888!4d3.405279!16s%2Fg%2F1hhwxch6h!19sChIJxfzr2ziLOxAR_1Y3qxYq_Ag,Bus stop,"Ring Road, Lagos Island 102273, Lagos, Nigeria",Lagos Island,20099,64051,17136,35027,5431
Obalende Bus Park,https://www.google.com/maps/place/Obalende+Bus+Park/data=!4m7!3m6!1s0x103b8b252c8984fb:0x89f52db3c43ace7e!8m2!3d6.4496297!4d3.4072531!16s%2Fg%2F1tf12_xx!19sChIJ-4SJLCWLOxARfs46xLMt9Yk,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Island,22344,64835,25384,34324,3924
Glover Bus Stop,https://www.google.com/maps/place/Glover+Bus+Stop/data=!4m7!3m6!1s0x103b8b17aedfa75f:0xfee7c3fd8d11aee!8m2!3d6.4519094!4d3.3972377!16s%2Fg%2F1ptw2rny5!19sChIJX6ffrheLOxAR7hrR2D987g8,Bus stop,"Massey Bamgboshe Street, Lagos Island 102273, Lagos, Nigeria",Lagos Island,26251,66156,29291,38231,3453
Sandgrouse Bus Stop,https://www.google.com/maps/place/Sandgrouse+Bus+Stop/data=!4m7!3m6!1s0x103b8b3d202da9d9:0xbf88fec05e6650dc!8m2!3d6.4510086!4d3.4017491!16s%2Fg%2F1ptv_6rnj!19sChIJ2aktID2LOxAR3FBmXsD-iL8,Bus stop,"Massey Bamgboshe Street, Lagos Island 102273, Lagos, Nigeria",Lagos Island,26251,66156,29291,38231,3453
TBS Bus Terminal,https://www.google.com/maps/place/TBS+Bus+Terminal/data=!4m7!3m6!1s0x103b8b214e869aff:0xd027d5cf571d16ba!8m2!3d6.443527!4d3.404077!16s%2Fg%2F11n38t4q39!19sChIJ_5qGTiGLOxARuhYdV8_VJ9A,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Island,22344,64835,25384,34324,3924
Law School Bus Stop,https://www.google.com/maps/place/Law+School+Bus+Stop/data=!4m7!3m6!1s0x103bf529fd7e5861:0x5326c8379dbabad1!8m2!3d6.4389083!4d3.4250844!16s%2Fg%2F1hhh71nty!19sChIJYVh-_Sn1OxAR0bq6nTfIJlM,Bus stop,"Ozumba Mbadiwe Ave, Victoria Island 106104, Lagos, Nigeria",Lagos Island,27946,68601,30986,39925,4436
Griffin Bus Stop Or Junction,https://www.google.com/maps/place/Griffin+Bus+Stop+Or+Junction/data=!4m7!3m6!1s0x103b8b0b11597489:0x34501d914e088690!8m2!3d6.4587623!4d3.3826564!16s%2Fg%2F11b5wgc0z8!19sChIJiXRZEQuLOxARkIYITpEdUDQ,Bus stop,"Bus Stop, Leventis, Apongbon, Griffin St, Lagos, Nigeria",Lagos Island,19612,63564,30531,39470,4693
Oshodi Bus stop,https://www.google.com/maps/place/Oshodi+Bus+stop/data=!4m7!3m6!1s0x103b8b17c802e403:0x6889191b6c010459!8m2!3d6.4517655!4d3.3981228!16s%2Fg%2F1ptz6npmh!19sChIJA-QCyBeLOxARWQQBbBsZiWg,Bus stop,"Bamgbose St, Lagos Island 102273, Lagos, Nigeria",Lagos Island,26251,66156,29291,38231,3453
Campus Bus Stop,https://www.google.com/maps/place/Campus+Bus+Stop/data=!4m7!3m6!1s0x103b8b1720dd53d9:0xe3623ad90a118be4!8m2!3d6.4522879!4d3.3953547!16s%2Fg%2F1ptwkc5wb!19sChIJ2VPdIBeLOxAR5IsRCtk6YuM,Bus stop,"Lagos Island 102273, Lagos, Nigeria",Lagos Island,22344,64835,25384,34324,3924
Adeniji Adele Bus Stop,https://www.google.com/maps/place/Adeniji+Adele+Bus+Stop/data=!4m7!3m6!1s0x103b8b6c883a2b97:0x715a1c7331c79fe2!8m2!3d6.4631277!4d3.3938155!16s%2Fg%2F1hhvlxs8z!19sChIJlys6iGyLOxAR4p_HMXMcWnE,Bus stop,"Adeniji Adele Road, Lagos Island 102273, Lagos, Nigeria",Lagos Island,22324,64815,25364,34304,4132
Barracks Bus Stop,https://www.google.com/maps/place/Barracks+Bus+Stop/data=!4m7!3m6!1s0x103b8b20fa2db417:0xec2c191877e64095!8m2!3d6.4412085!4d3.4022562!16s%2Fg%2F1hhx9h03z!19sChIJF7Qt-iCLOxARlUDmdxgZLOw,Bus stop,"Ahmadu Bello Rd, Lagos Island 102273, Lagos, Nigeria",Lagos Island,26534,67189,29574,38513,3024
