title,placeUrl,category,address,LGA
Mushin Bus Stop,https://www.google.com/maps/place/Mushin+Bus+Stop/data=!4m7!3m6!1s0x103b8dcc029e051b:0x710062aa6d4df8a1!8m2!3d6.529885!4d3.353477!16s%2Fg%2F1hhx3dtv5!19sChIJGwWeAsyNOxARofhNbapiAHE,Bus stop,"A5, Mushin 102215, Lagos, Nigeria",Mushin
Olosha Bus Stop,https://www.google.com/maps/place/Olosha+Bus+Stop/data=!4m7!3m6!1s0x103b8dca927673b7:0xd24262bf1468e956!8m2!3d6.5259438!4d3.3573559!16s%2Fg%2F1hhvz5hd5!19sChIJt3N2ksqNOxARVuloFL9iQtI,Bus stop,"Martins Street, Mushin 102215, Lagos, Nigeria",Mushin
Onipanu Bus Stop,https://www.google.com/maps/place/Onipanu+Bus+Stop/data=!4m7!3m6!1s0x103b8db07b5fc671:0xe373564e85822afa!8m2!3d6.5345272!4d3.366926!16s%2Fg%2F1hhw8wr9k!19sChIJccZfe7CNOxAR-iqChU5Wc-M,Bus stop,"Mushin 102215, Lagos, Nigeria",Mushin
Fadeyi Bus Stop,https://www.google.com/maps/place/Fadeyi+Bus+Stop/data=!4m7!3m6!1s0x103b8db24e2eafbb:0xf76387cd0fbf79d6!8m2!3d6.5278119!4d3.3670548!16s%2Fg%2F1hhwm2v_y!19sChIJu68uTrKNOxAR1nm_D82HY_c,Bus stop,"Mushin 102215, Lagos, Nigeria",Mushin
Iyana Isolo Bus Stop,https://www.google.com/maps/place/Iyana+Isolo+Bus+Stop/data=!4m7!3m6!1s0x103b8e791902aee1:0x4d18523b75fff057!8m2!3d6.531492!4d3.3359385!16s%2Fg%2F1tcwz10y!19sChIJ4a4CGXmOOxARV_D_dTtSGE0,Bus stop,"Isolo Rd, Mushin 102214, Lagos, Nigeria",Mushin
Challenge Bus Stop,https://www.google.com/maps/place/Challenge+Bus+Stop/data=!4m7!3m6!1s0x103b8dc68f86d3d9:0x69344c9c0abd0d78!8m2!3d6.5379068!4d3.3545121!16s%2Fg%2F1hhx2bg32!19sChIJ2dOGj8aNOxAReA29CpxMNGk,Bus stop,"Agege Motor Rd, Mushin 102215, Ikeja, Lagos, Nigeria",Mushin
Olosha Bus Stop,https://www.google.com/maps/place/Olosha+Bus+Stop/data=!4m7!3m6!1s0x103b8dca8d8a7127:0xc34cf57a8ce20881!8m2!3d6.526432!4d3.358003!16s%2Fg%2F11fp8l60n6!19sChIJJ3GKjcqNOxARgQjijHr1TMM,Bus station,"Fadeyi 102215, Ikeja, Lagos, Nigeria",Mushin
BRT Bus Stop,https://www.google.com/maps/place/BRT+Bus+Stop/data=!4m7!3m6!1s0x103b8dbc8b1a773f:0x4ca94d3a8fd08b44!8m2!3d6.5416608!4d3.3667302!16s%2Fg%2F1tq7cj0r!19sChIJP3cai7yNOxARRIvQjzpNqUw,Bus stop,"Palmgrove Overpass, Mushin 102215, Lagos, Nigeria",Mushin
Onipanu,https://www.google.com/maps/place/Onipanu/data=!4m7!3m6!1s0x103b8db04e4b5a31:0x8006884f1f62b3db!8m2!3d6.532926!4d3.367368!16s%2Fg%2F1tdj7s1j!19sChIJMVpLTrCNOxAR27NiH0-IBoA,Bus stop,"08096196617, Ikorodu Rd, Lagos, Nigeria",Mushin
7/8 Bus Stop,https://www.google.com/maps/place/7%2F8+Bus+Stop/data=!4m7!3m6!1s0x103b8e0c2fa76679:0x3cfe5df68a5cc579!8m2!3d6.5508274!4d3.3318615!16s%2Fg%2F1tjj8ft0!19sChIJeWanLwyOOxARecVcivZd_jw,Bus stop,"Murtala Muhammed Airport Road, Mushin 102214, Lagos, Nigeria",Mushin
