title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b814821728ef3:0xbbdbca2f1f6b0a2a!8m2!3d6.4621011!4d3.1693733!16s%2Fg%2F1tf5gskj!19sChIJ845yIUiBOxARKgprHy_K27s,Bus stop,"Ojo 102111, Lagos, Nigeria",Ojo,38750,44259,25267,53680,31095
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b8642c9a049ed:0xcd538c0ee6692cbd!8m2!3d6.460009!4d3.228578!16s%2Fg%2F1tly5_b0!19sChIJ7UmgyUKGOxARvSxp5g6MU80,Bus stop,"Lagos - Badagry Expy, Ojo 102113, Lagos, Nigeria",Ojo,35671,40954,21758,50601,28016
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b865ee050679f:0x50ffff1d3c925439!8m2!3d6.4576609!4d3.2207859!16s%2Fg%2F1td2phkh!19sChIJn2dQ4F6GOxAROVSSPB3__1A,Bus stop,"Ojo 102113, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
Pavilion Bus Stop,https://www.google.com/maps/place/Pavilion+Bus+Stop/data=!4m7!3m6!1s0x103b86946efb1ecf:0x82482b465dcb0507!8m2!3d6.4649155!4d3.2020212!16s%2Fg%2F1pv0tnymc!19sChIJzx77bpSGOxARBwXLXUYrSII,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Ajakaye Bus Stop,https://www.google.com/maps/place/Ajakaye+Bus+Stop/data=!4m7!3m6!1s0x103b843dee4d637b:0xfce4e1a5ebf0d576!8m2!3d6.498082!4d3.1987971!16s%2Fg%2F1hhvym9pt!19sChIJe2NN7j2EOxARdtXw66Xh5Pw,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
3-IN-1 Bus Stop,https://www.google.com/maps/place/3-IN-1+Bus+Stop/data=!4m7!3m6!1s0x103b869833d545b7:0xe2c5fcd2593dbb2!8m2!3d6.4731295!4d3.2002535!16s%2Fg%2F1ptz2p3lm!19sChIJt0XVM5iGOxARstuTJc1fLA4,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Ilaje Bus Stop,https://www.google.com/maps/place/Ilaje+Bus+Stop/data=!4m7!3m6!1s0x103b86f50132e24d:0x7f20125dfa888dd8!8m2!3d6.4594519!4d3.2159042!16s%2Fg%2F1w0dk0s1!19sChIJTeIyAfWGOxAR2I2I-l0SIH8,Bus stop,"Ojo 102113, Lagos, Nigeria",Ojo,36494,41776,22580,51424,28838
Moshalasi Bus Stop,https://www.google.com/maps/place/Moshalasi+Bus+Stop/data=!4m7!3m6!1s0x103b86bae3143139:0x11d8c23074b8f11f!8m2!3d6.4704297!4d3.1903!16s%2Fg%2F1td6jswr!19sChIJOTEU47qGOxARH_G4dDDC2BE,Bus stop,"Lagos - Badagry Expy, Ojo 102101, Lagos, Nigeria",Ojo,39972,38142,26505,54901,32316
Law Bus Stop,https://www.google.com/maps/place/Law+Bus+Stop/data=!4m7!3m6!1s0x103b86968240c089:0x4bdf00c371559125!8m2!3d6.4670676!4d3.2009616!16s%2Fg%2F1ptx4cdrz!19sChIJicBAgpaGOxARJZFVccMA30s,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
Arowolo Bus Stop,https://www.google.com/maps/place/Arowolo+Bus+Stop/data=!4m7!3m6!1s0x103b84417ef8b071:0xa9093cf27d680860!8m2!3d6.5093896!4d3.200743!16s%2Fg%2F1pv0cgvc3!19sChIJcbD4fkGEOxARYAhoffI8Cak,Bus stop,"Ojo 102101, Lagos, Nigeria",Ojo,34572,37847,22552,55136,33870
