title,placeUrl,category,address,LGA
Isolo Bus Stop,https://www.google.com/maps/place/Isolo+Bus+Stop/data=!4m7!3m6!1s0x103b8e61249373eb:0xb05ef298ecacfd14!8m2!3d6.5291096!4d3.3217925!16s%2Fg%2F1tfljkq9!19sChIJ63OTJGGOOxARFP2s7JjyXrA,Bus stop,"Agbabiaka St, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b8e03a07ff965:0xb4f4f556a5b7f171!8m2!3d6.5634873!4d3.3313376!16s%2Fg%2F1tf4tdz_!19sChIJZfl_oAOOOxARcfG3pVb19LQ,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Iyana Isolo Bus Stop,https://www.google.com/maps/place/Iyana+Isolo+Bus+Stop/data=!4m7!3m6!1s0x103b8e791902aee1:0x4d18523b75fff057!8m2!3d6.531492!4d3.3359385!16s%2Fg%2F1tcwz10y!19sChIJ4a4CGXmOOxARV_D_dTtSGE0,Bus stop,"Isolo Rd, Mushin 102214, Lagos, Nigeria",Oshodi-Isolo
Oshodi Bus Terminal 3,https://www.google.com/maps/place/Oshodi+Bus+Terminal+3/data=!4m7!3m6!1s0x103b8fcb50dbae43:0xa76d67ec9f4027ce!8m2!3d6.5355171!4d3.3086244!16s%2Fg%2F11h_7v_6vc!19sChIJQ67bUMuPOxARzidAn-xnbac,Bus charter,"G8P5+6C5, Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Ajao Estate Bus Stop,https://www.google.com/maps/place/Ajao+Estate+Bus+Stop/data=!4m7!3m6!1s0x103b8e0e034fd8bd:0xd0391f31bf75434e!8m2!3d6.5519785!4d3.3290935!16s%2Fg%2F11_rqnp8w!19sChIJvdhPAw6OOxARTkN1vzEfOdA,Bus stop,"Junction Overpass, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Oja Bus-Stop,https://www.google.com/maps/place/Oja+Bus-Stop/data=!4m7!3m6!1s0x103b8ef521b24eb9:0x8d6a0d264c5d9189!8m2!3d6.5223143!4d3.3175278!16s%2Fg%2F1td22l2p!19sChIJuU6yIfWOOxARiZFdTCYNao0,Bus stop,"Okota Rd, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Aiye Bus Stop,https://www.google.com/maps/place/Aiye+Bus+Stop/data=!4m7!3m6!1s0x103b8e7b5654df3b:0xaee6875556c16a3f!8m2!3d6.5301916!4d3.3292866!16s%2Fg%2F11_skz2hv!19sChIJO99UVnuOOxARP2rBVlWH5q4,Bus stop,"Jimoh, Olusola Faronbi St, Oshodi-Isolo, Lagos, Nigeria",Oshodi-Isolo
Oshodi,https://www.google.com/maps/place/Oshodi/data=!4m7!3m6!1s0x103b8dee8cf18f93:0xb0a54d7ce1563cf0!8m2!3d6.5540641!4d3.3526799!16s%2Fg%2F1hhx18b2g!19sChIJk4_xjO6NOxAR8DxW4XxNpbA,Bus stop,"A5, Mushin 102215, Lagos, Nigeria",Oshodi-Isolo
Oshodi General Bus Terminal,https://www.google.com/maps/place/Oshodi+General+Bus+Terminal/data=!4m7!3m6!1s0x103b8f49d2a92303:0x40c591600f07083!8m2!3d6.5353596!4d3.3086316!16s%2Fg%2F11fpmcysjg!19sChIJAyOp0kmPOxARg3DwABZZDAQ,Transportation service,"G8P5+4FR, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Mosalasi Bus Stop,https://www.google.com/maps/place/Mosalasi+Bus+Stop/data=!4m7!3m6!1s0x103b8e06e6ca4319:0x7cea14a8951f797c!8m2!3d6.5603829!4d3.3360457!16s%2Fg%2F1hc0tdhjt!19sChIJGUPK5gaOOxARfHkflagU6nw,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
