title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Popola Bus Stop,https://www.google.com/maps/place/Popola+Bus+Stop/data=!4m7!3m6!1s0x103b8d0a0e94be05:0x6e97ed770787b036!8m2!3d6.541304!4d3.3796509!16s%2Fg%2F113ds6rbn!19sChIJBb6UDgqNOxARNrCHB3ftl24,Bus stop,"Igi Olugbin St, Somolu 102216, Lagos, Nigeria",Somolu,10142,71239,13860,25074,17770
Famous Bus Stop,https://www.google.com/maps/place/Famous+Bus+Stop/data=!4m7!3m6!1s0x103b8da1bd288cfb:0xff52d8e4e7202475!8m2!3d6.5437499!4d3.3755708!16s%2Fg%2F1hhpc8109!19sChIJ-4wovaGNOxARdSQg5-TYUv8,Bus stop,"Igi Olugbin Road, Somolu 102216, Lagos, Nigeria",Somolu,10423,71521,14141,25356,17489
Palmgrove Bus stop,https://www.google.com/maps/place/Palmgrove+Bus+stop/data=!4m7!3m6!1s0x103b8dbc92f8babf:0x9be1674f92606704!8m2!3d6.5409839!4d3.3674149!16s%2Fg%2F1tjyqrbc!19sChIJv7r4kryNOxARBGdgkk9n4Zs,Bus stop,"Somolu 102216, Lagos, Nigeria",Somolu,10517,71615,14235,25450,17646
Moshalasi Bus Stop,https://www.google.com/maps/place/Moshalasi+Bus+Stop/data=!4m7!3m6!1s0x103b8daf4a20b515:0xc09e5ea533c63177!8m2!3d6.5338397!4d3.3738542!16s%2Fg%2F11h084ks1!19sChIJFbUgSq-NOxARdzHGM6VensA,Bus stop,"Moshalashi St, Somolu 102216, Lagos, Nigeria",Somolu,10005,71102,13723,24938,21886
Folagoro Bus Stop,https://www.google.com/maps/place/Folagoro+Bus+Stop/data=!4m7!3m6!1s0x103b8d0746272251:0xdc195b33d6f8ea41!8m2!3d6.5303728!4d3.3802539!16s%2Fg%2F11g_gg0ld!19sChIJUSInRgeNOxARQer41jNbGdw,Bus stop,"Bajulaye Rd, Somolu 102216, Lagos, Nigeria",Somolu,11261,65474,14979,26189,15146
Awofodu Bus Stop,https://www.google.com/maps/place/Awofodu+Bus+Stop/data=!4m7!3m6!1s0x103b8da09a85079d:0x8213684ce2d3d3f6!8m2!3d6.5422257!4d3.378607!16s%2Fg%2F11g__1_sc!19sChIJnQeFmqCNOxAR9tPT4kxoE4I,Bus stop,"Igi Olugbin Road, Somolu 102216, Lagos, Nigeria",Somolu,10423,71521,14141,25356,17489
Igbo Ogunuko Bus Stop,https://www.google.com/maps/place/Igbo+Ogunuko+Bus+Stop/data=!4m7!3m6!1s0x103b8d0f7f692959:0x643a3b9f992ac95c!8m2!3d6.5352106!4d3.3867183!16s%2Fg%2F113g5vwyn!19sChIJWSlpfw-NOxARXMkqmZ87OmQ,Bus stop,"Abule Okuta Road, Somolu 102216, Lagos, Nigeria",Somolu,11288,72385,15006,25224,16682
Onipanu Bus Stop.,https://www.google.com/maps/place/Onipanu+Bus+Stop./data=!4m7!3m6!1s0x103b8df7dc8c789d:0x2f100654f7c162bb!8m2!3d6.5349419!4d3.3678719!16s%2Fg%2F11nl72rgp7!19sChIJnXiM3PeNOxARu2LB91QGEC8,Transportation service,"29 Agunbiade St, Somolu 102216, Lagos, Nigeria",Somolu,9631,70728,13349,24564,21512
Akilo Bus Stop,https://www.google.com/maps/place/Akilo+Bus+Stop/data=!4m7!3m6!1s0x103b8d0f0e31f451:0x59e7582a9be4ed2c!8m2!3d6.536754!4d3.386419!16s%2Fg%2F113gm8856!19sChIJUfQxDg-NOxARLO3kmypY51k,Bus stop,"Tapa Street, Somolu 102216, Lagos, Nigeria",Somolu,10933,72030,14651,25865,16689
Dare Bus Stop,https://www.google.com/maps/place/Dare+Bus+Stop/data=!4m7!3m6!1s0x103b8d00ed1e17dd:0x678c678d9f3df0b!8m2!3d6.5278625!4d3.3805597!16s%2Fg%2F11gzn8134!19sChIJ3Rce7QCNOxARC9_z2XjGeAY,Bus stop,"Fola Agoro St, Somolu 102216, Lagos, Nigeria",Somolu,12086,65926,11078,27013,13838
