title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Stadium Bus Stop,https://www.google.com/maps/place/Stadium+Bus+Stop/data=!4m7!3m6!1s0x103b8c6a46f074f5:0x30cfab563a11df8c!8m2!3d6.5008233!4d3.3625886!16s%2Fg%2F1hhwrscw_!19sChIJ9XTwRmqMOxARjN8ROlarzzA,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Shita Bus Stop,https://www.google.com/maps/place/Shita+Bus+Stop/data=!4m7!3m6!1s0x103b8c14c8bc0d27:0x21f4cabf5940ea99!8m2!3d6.499492!4d3.358469!16s%2Fg%2F1tdsm2rf!19sChIJJw28yBSMOxARmepAWb_K9CE,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Municipal Bus Stop,https://www.google.com/maps/place/Municipal+Bus+Stop/data=!4m7!3m6!1s0x103b8c38445d0c4d:0xb707082e271c5c63!8m2!3d6.5120758!4d3.3573854!16s%2Fg%2F1hhw9t9tr!19sChIJTQxdRDiMOxARY1wcJy4IB7c,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Lawanson Bus Stop,https://www.google.com/maps/place/Lawanson+Bus+Stop/data=!4m7!3m6!1s0x103b8c2536696711:0x1f68637fcb1042f3!8m2!3d6.5125651!4d3.3486428!16s%2Fg%2F1hhvwmjw6!19sChIJEWdpNiWMOxAR80IQy39jaB8,Bus stop,"Jubril Martins St, Surulere 101241, Lagos, Nigeria",Surulere,14078,60806,10427,29006,12438
KILO BUS STOP,https://www.google.com/maps/place/KILO+BUS+STOP/data=!4m7!3m6!1s0x103b8c18f95fae95:0xfddb2d0dba7e1c9e!8m2!3d6.5011339!4d3.346183!16s%2Fg%2F1vj19wj1!19sChIJla5f-RiMOxARnhx-ug0t2_0,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Masha Bus Stop,https://www.google.com/maps/place/Masha+Bus+Stop/data=!4m7!3m6!1s0x103b8c17b94c997f:0x7815a24807441845!8m2!3d6.5032!4d3.3494752!16s%2Fg%2F1tgkdf0n!19sChIJf5lMuReMOxARRRhEB0iiFXg,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Ogunlana Bus Stop,https://www.google.com/maps/place/Ogunlana+Bus+Stop/data=!4m7!3m6!1s0x103b8c3a3bfbbd39:0x9090bf355968a10!8m2!3d6.512278!4d3.353086!16s%2Fg%2F1hhv_cyn1!19sChIJOb37OzqMOxAREIqWVfMLCQk,Bus stop,"Itire St, Surulere 101241, Lagos, Nigeria",Surulere,16519,62407,8497,31448,27935
Barracks BRT Bus Stop,https://www.google.com/maps/place/Barracks+BRT+Bus+Stop/data=!4m7!3m6!1s0x103b8c417f4ebebb:0x8ac9157287fda079!8m2!3d6.506!4d3.363849!16s%2Fg%2F1tdhnvl4!19sChIJu75Of0GMOxAReaD9h3IVyYo,Bus stop,"Funsho Williams Ave, Surulere 101241, Lagos, Nigeria",Surulere,12625,62815,9661,27553,11857
Ojuelegba Bus Station,https://www.google.com/maps/place/Ojuelegba+Bus+Station/data=!4m7!3m6!1s0x103b8c46ec56ec65:0x31653a32a5aa58a!8m2!3d6.510317!4d3.3626533!16s%2Fg%2F1v19zw83!19sChIJZexW7EaMOxARiqVaKqNTFgM,Bus station,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
Alaka Bustop,https://www.google.com/maps/place/Alaka+Bustop/data=!4m7!3m6!1s0x103b8c723f0384fd:0x8e19362d9713a5f!8m2!3d6.491007!4d3.362958!16s%2Fg%2F1th45m9w!19sChIJ_YQDP3KMOxARXzpx2WKT4Qg,Bus stop,"Surulere 101241, Lagos, Nigeria",Surulere,16011,58386,10502,30938,10897
