Thai,English
แยกทางหลวงหมายเลข 21 (กม.ที่ 31+000) - บ้านวังเพลิง,Highway 21 (km 31+000) - Ban Wang Phloeng
เดชอุดม - อุบลราชธานี,Dej Udom - Ubon Ratchathani
ปราณบุรี - ปากน้ำปราณ,Pranburi - Pak Nam Pran
เชื่อมทางหลวงหมายเลข 1013 (กม.ที่ 8+200) - บ้านขุนกลาง,Connect Highway 1013 (km 8+200) - Ban Khun Klang
เกยไชย - ศรีมงคล,Kayachai -Sri Mongkhon
แยกทางหลวงหมายเลข 108 (กม.ที่ 199+400) - บ้านแม่สุริน,Highway 108 (Km. 199+400) - Ban Mae Surin
ท่าทอง - สวนสมบูรณ์,Tha Thong - Suan Somboon
ทางแยกวัดสว่างอารมณ์ - ทางแยกศาลหลักเมือง,Wat Sawang Arom Intersection - City Pillar Junction
ปากจ่า - ค่ายรวมมิตร,Pakcha - Ruammit Camp
บ่อไร่ - แหลมค้อ,Bo Rai - Laem Kho
ขุนตาน - อุโมงค์,Khun Tan - Tunnel
ตีนเขา - หาดราไวย์,Hilltime - Rawai Beach
ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,"Pak Khao San - Garden Junction, Phu Khae"
คลองอีจาง - หลุมดิน,Khlong Lee Jang - Din Hole
ประตูน้ำพระอินทร์ - หนองแค,Pratunam Phra In - Nong Khae
ท่าเยี่ยม - ขอนหอม,Tha Yai - Khon Hom
ดอนหวาย - โนนสูง,Don Wai - Non Sung
เสาธง - สวนผัก,Poong -vegetable garden
ทางเข้าเขื่อนลำปาว,Lam Pao Dam entrance
ดงจำปา - แยกร.พ.อานันทมหิดล,Dong Champa - Kor.
หนองบัวโคก - บ้านลี่,Nong Bua Khok - Ban Li
นครศรีธรรมราช - เสาธง,Nakhon Si Thammarat - Sao Thong
ถลาง - หาดราไวย์,Thalang - Rawai Beach
สามชุก - หนองอีพัง,Samchuk - Nong Epang
เพชรบุรี - หาดเจ้าสำราญ,Phetchaburi - Chao Samran Beach
พระบาทตะเมาะ  - ฮอด,Phrabat Tam -Hot
แยกทางหลวงหมายเลข 2354 (กม.ที่ 26+650) - แยกทางหลวงหมายเลข 2069 (กม.ที่ 6+350),Highway intersection number 2354 (Km. 26+650) - Highway intersection number 2069 (Km 6+350)
เขาพนม - ทุ่งใหญ่,Khao Phanom - Thung Yai
ถนนโค้ง - หนองน้ำใส,Curved Road - Nong Nam Sai
โรงพยาบาลสรรคบุรี - ชัยนาท,Sankhaburi -Chainat Hospital
ทางเลี่ยงเมืองแพร่,Avoiding city of Phrae
ศาลนเรศวร - สถานีรถไฟปราจีนบุรี,Naresuan Court - Prachinburi Railway Station
หน้าโคก - เสนา,Kok -Sena
แยกทางหลวงหมายเลข 4 (กม.ที่ 51+920) - บ้านวัดละมุด,Highway 4 (km 51+920) - Ban Lamud Temple
นางั่ว - ทุ่งสมอ,Mrs. Panta - Thung Samo
อ่างทอง - บางหลวงโดด,Ang Thong - Bang Luang Jump
ท่าไม้ - ตะคร้ำเอน,Tha Mai - Takruang
แม่ทะลาย - หัวโท,Mae Thapan - Loop
ถนนสมโภชเชียงใหม่ 700 ปี,"Sompoch Road, Chiang Mai 700 years"
เมืองภูเก็ต - กะทู้,Phuket City - Kathu
คลองวัดแดง - บางบัวทอง,Khlong Wat Daeng - Bang Bua Thong
ราษฎร์บูรณะ - พระสมุทรเจดีย์,Rat Burana - Phra Samut Chedi
บางพลี-สุขสวัสดิ์,Bang Phli-Suksawat
แยกทางหลวงหมายเลข 1188 (กม.ที่ 0+800) - บ้านดอนไชย,Highway 1188 (km at 0+800) - Ban Don Chai
เมืองภูเก็ต - ห้าแยกฉลอง,Phuket City - Chalong Intersection
หนองกระทุ่ม - พนมทวน,Nong Krathum - Phanom Thuan
ทางเลี่ยงเมืองลพบุรี,Lop Buri Avoid
แยกโพธารส - ท่ายาง,Photon -Tha Yang junction
สองพี่น้อง - มะขามล้ม,Two brothers - tamarind falls
ห้วยทราย - พรุพ้อ,Huai Sai -Pruppo
แยกทางหลวงหมายเลข 410 (กม.ที่ 110+700) - บ้านคอกช้าง,Highway 410 (km 110+700) - Ban Khok Chang
ห้วยชินสีห์ - ปากท่อ,Huai Chin Si - Pak Tho
ลำพังชู - ห้วยลำเตา,Alone Chu - Huai Lam Tao
ท่าชี - ถ้ำพรรณรา,Tha Chi -Tham Phanra
แยกทางหลวงหมายเลข 3310 (กม.ที่ 10+700) - บ้านกลาง,Highway 3310 (km 10+700) - Ban Klang
สะพานคลองลำเซ - ปทุมราชวงศา,Khlong Lamse - Pathum Ratchawongsa Bridge
แยกทางหลวงหมายเลข 212 (กม.ที่ 45+950) - บ้านเซิม,Highway 212 (km 45+950) - Ban Sim
สี่แยกปฐมพร - แยกหมอเล็ก,Pathomphon intersection - Doctor Lek Intersection
อ่างทอง - ไชโย,Ang Thong - Chaiyo
เขาสมิง - แม่น้ำตราด,Khao Saming - Trat River
ดอนมูล - หลักลาย,Don Mun - Lai Lai
บางพลี - บางบ่อ,Bang Phli - Bang Bo
ชะอำ - วังโบสถ์,Cha -am - Church Palace
สาลี - สุพรรณบุรี,Sali -Suphanburi
สี่แยกยางตลาด - ร่องคำ,Marketing Rubber Intersection - Rong Kham
โคกกลอย - หมากปรก,Khok Kloi - Mak
แยกทางหลวงหมายเลข 4155 (กม.ที่ 4+123) - บ้านบือแนปีแย,Highway 4155 (Km 4+123) - Baan Buen Pi Yae
เหมืองกุง - ต้นเปา,Kung Kung - Pao Ton
แยกทางหลวงหมายเลข 3406 (กม.ที่ 20+317) - บ้านคลองแดง,Highway intersection number 3406 (km 20+317) - Ban Khlong Daeng
